SKU,stock,URL,SP,MRP,productname
http://www.flipkart.com/donic-waldner-black-devil-table-tennis-blade/p/itmdgn6egwnurbrc?pid=RAQDGN6EGWNURBRC,In Stock.,,http://www.flipkart.com/donic-waldner-black-devil-table-tennis-blade/p/itmdgn6egwnurbrc,,6543,"
                            Donic Waldner Black Devil Table Tennis Blade                    "
http://www.flipkart.com/head-aft-flash-strung-squash-racquet/p/itmdcnwa5fxuthun?pid=RAQDCNWA5FXUTHUN,In Stock.,,http://www.flipkart.com/head-aft-flash-strung-squash-racquet/p/itmdcnwa5fxuthun,,4164,"
                            Head AFT Flash Strung Squash Racquet                    "
http://www.flipkart.com/head-115-ct-strung-squash-racquet/p/itmdcz7j5k3gwrgp?pid=RAQDCNWAVBHCNUJQ,In Stock.,,http://www.flipkart.com/head-115-ct-strung-squash-racquet/p/itmdcz7j5k3gwrgp,,7586,"
                            Head 115 CT Strung Squash Racquet                    "
http://www.flipkart.com/butterfly-spin-art-table-tennis-rubber/p/itmdtaffsfjmmrpq?pid=RUBDCGD7N658FHNA,,,http://www.flipkart.com/butterfly-spin-art-table-tennis-rubber/p/itmdtaffsfjmmrpq,,5525,"
                            Butterfly Spin Art Table Tennis Rubber                    "
http://www.flipkart.com/head-youtek-graphene-speed-pro-g3-unstrung-tennis-racquet/p/itmdku4n4yapkxhh?pid=RAQDKU4N4YAPKXHH,In Stock.,,http://www.flipkart.com/head-youtek-graphene-speed-pro-g3-unstrung-tennis-racquet/p/itmdku4n4yapkxhh,,15469,"
                            Head Youtek Graphene Speed Pro G3 Unstrung Tennis Racquet                    "
http://www.flipkart.com/head-neon-130-strung-squash-racquet/p/itmdcnwarwgfgemb?pid=RAQDCNWARWGFGEMB,In Stock.,,http://www.flipkart.com/head-neon-130-strung-squash-racquet/p/itmdcnwarwgfgemb,,7118,"
                            Head Neon 130 Strung Squash Racquet                    "
http://www.flipkart.com/head-youtek-graphene-speed-mp-g3-unstrung-tennis-racquet/p/itmdku4ndkgycquu?pid=RAQDKU4NDKGYCQUU,In Stock.,,http://www.flipkart.com/head-youtek-graphene-speed-mp-g3-unstrung-tennis-racquet/p/itmdku4ndkgycquu,,17403,"
                            Head Youtek Graphene Speed MP G3 Unstrung Tennis Racquet                    "
http://www.flipkart.com/head-microgel-power-laser-strung-squash-racquet/p/itmdcz7jxrzqgsf9?pid=RAQDCNWAYGCCZAYZ,In Stock.,,http://www.flipkart.com/head-microgel-power-laser-strung-squash-racquet/p/itmdcz7jxrzqgsf9,,4631,"
                            Head Microgel Power Laser Strung Squash Racquet                    "
http://www.flipkart.com/joola-5005-energy-max-table-tennis-rubber/p/itmdcgefbhrhjdzg?pid=RUBDECSK2RMNYGZ6,In Stock.,,http://www.flipkart.com/joola-5005-energy-max-table-tennis-rubber/p/itmdcgefbhrhjdzg,,3759,"
                            Joola 5005 Energy Max Table Tennis Rubber                    "
http://www.flipkart.com/head-aft-blast-strung-squash-racquet/p/itmdcnwafyzhzdzm?pid=RAQDCNWAFYZHZDZM,In Stock.,,http://www.flipkart.com/head-aft-blast-strung-squash-racquet/p/itmdcnwafyzhzdzm,,4483,"
                            Head AFT Blast Strung Squash Racquet                    "
