SKU,stock,URL,SP,MRP,productname
http://www.flipkart.com/wilson-steam-99s-g3-unstrung-tennis-racquet/p/itmdg8wy7tyzvada?pid=RAQDG8WY7TYZVADA,In Stock.,http://www.flipkart.com/wilson-steam-99s-g3-unstrung-tennis-racquet/p/itmdg8wy7tyzvada, Rs. 13867,Rs. 18490,"
                            Wilson Steam 99S G3 Unstrung Tennis Racquet                    "
http://www.flipkart.com/head-aft-flash-strung-squash-racquet/p/itmdcnwa5fxuthun?pid=RAQDCNWA5FXUTHUN,In Stock.,http://www.flipkart.com/head-aft-flash-strung-squash-racquet/p/itmdcnwa5fxuthun, Rs. 4409,Rs. 4899,"
                            Head AFT Flash Strung Squash Racquet                    "
http://www.flipkart.com/yonex-arcsaber-7-g4-unstrung-badminton-racquet/p/itmdfyr9pqznrcjk?pid=RAQDFYR9PQZNRCJK,In Stock.,http://www.flipkart.com/yonex-arcsaber-7-g4-unstrung-badminton-racquet/p/itmdfyr9pqznrcjk, Rs. 7821,Rs. 11850,"
                            Yonex Arcsaber 7 G4 Unstrung Badminton Racquet                    "
http://www.flipkart.com/head-aft-blast-strung-squash-racquet/p/itmdcnwafyzhzdzm?pid=RAQDCNWAFYZHZDZM,In Stock.,http://www.flipkart.com/head-aft-blast-strung-squash-racquet/p/itmdcnwafyzhzdzm, Rs. 4483,Rs. 5275,"
                            Head AFT Blast Strung Squash Racquet                    "
http://www.flipkart.com/yonex-nanospeed-9900-g4-strung-badminton-racquet/p/itmdrubwft97qfhs?pid=RAQDCNWAHFGHK2JB,In Stock.,http://www.flipkart.com/yonex-nanospeed-9900-g4-strung-badminton-racquet/p/itmdrubwft97qfhs, Rs. 11196,Rs. 15550,"
                            Yonex Nanospeed 9900 G4 Strung Badminton Racquet                    "
http://www.flipkart.com/wilson-ps-6-1-100-blx2-frm3-unstrung-tennis-racquet/p/itmdg8wynsuynrzd?pid=RAQDG8WYNSUYNRZD,In Stock.,http://www.flipkart.com/wilson-ps-6-1-100-blx2-frm3-unstrung-tennis-racquet/p/itmdg8wynsuynrzd, Rs. 13500,Rs. 17499,"
                            Wilson PS 6.1 100 BLX2 FRM3 Unstrung Tennis Racquet                    "
http://www.flipkart.com/yonex-nanospeed-9900-g4-strung-badminton-racquet/p/itmdrubwft97qfhs?pid=RAQDCNWAHFGHK2JB,In Stock.,http://www.flipkart.com/yonex-nanospeed-9900-g4-strung-badminton-racquet/p/itmdrubwft97qfhs, Rs. 11196,Rs. 15550,"
                            Yonex Nanospeed 9900 G4 Strung Badminton Racquet                    "
http://www.flipkart.com/yonex-voltric-5-g4-strung-badminton-racquet/p/itmdcnwahu966mug?pid=RAQDCNWAHU966MUG,In Stock.,http://www.flipkart.com/yonex-voltric-5-g4-strung-badminton-racquet/p/itmdcnwahu966mug, Rs. 3250,Rs. 4490,"
                            Yonex Voltric 5 G4 Strung Badminton Racquet                    "
,,http://www.flipkart.com/,,,
http://www.flipkart.com/yonex-arcsaber-7-g4-unstrung-badminton-racquet/p/itmdfyr9pqznrcjk?pid=RAQDFYR9PQZNRCJK,In Stock.,http://www.flipkart.com/yonex-arcsaber-7-g4-unstrung-badminton-racquet/p/itmdfyr9pqznrcjk, Rs. 7821,Rs. 11850,"
                            Yonex Arcsaber 7 G4 Unstrung Badminton Racquet                    "
http://www.flipkart.com/joola-5005-energy-max-table-tennis-rubber/p/itmdcgefbhrhjdzg?pid=RUBDECSK2RMNYGZ6,In Stock.,http://www.flipkart.com/joola-5005-energy-max-table-tennis-rubber/p/itmdcgefbhrhjdzg, Rs. 3800,Rs. 3999,"
                            Joola 5005 Energy Max Table Tennis Rubber                    "
