Old URL,New URL,
/products?category=foot,,http://live-you-sport.mybigcommerce.com/brands/Iso-Solid.html
/products?category=fouganza,,http://live-you-sport.mybigcommerce.com/brands/Jawbone.html
/products?category=fox-exer,,http://live-you-sport.mybigcommerce.com/brands/Jiang.html
/products?category=fox40,,http://live-you-sport.mybigcommerce.com/brands/Joes.html
/products?category=freeload,,http://live-you-sport.mybigcommerce.com/brands/Joes-Joe%27s.html
/products?category=freet,,http://live-you-sport.mybigcommerce.com/brands/Joma.html
/products?category=friendship,,http://live-you-sport.mybigcommerce.com/brands/Jonex.html
/products?category=fuel,,http://live-you-sport.mybigcommerce.com/brands/Joola.html
/products?category=fusion,,http://live-you-sport.mybigcommerce.com/brands/K%252dSwiss.html
/products?category=fusion-sports-uk,,http://live-you-sport.mybigcommerce.com/brands/Kaizen.html
/products?category=g-k-i,,http://live-you-sport.mybigcommerce.com/brands/Kalenji.html
/products?category=gamma,,http://live-you-sport.mybigcommerce.com/brands/Kanton.html
/products?category=garmin,,http://live-you-sport.mybigcommerce.com/brands/Karakal.html
/products?category=gecko,,http://live-you-sport.mybigcommerce.com/brands/Kimony.html
/products?category=gelert,,http://live-you-sport.mybigcommerce.com/brands/Kinesio.html
/products?category=gemini,,http://live-you-sport.mybigcommerce.com/brands/Kipsta.html
/products?category=generic,,http://live-you-sport.mybigcommerce.com/brands/Kirschbaum.html
/products?category=geologic,,http://live-you-sport.mybigcommerce.com/brands/Konex.html
/products?category=geonaute,,http://live-you-sport.mybigcommerce.com/brands/Kookaburra.html
/products?category=getactive,,http://live-you-sport.mybigcommerce.com/brands/Kross.html
/products?category=giant,,http://live-you-sport.mybigcommerce.com/brands/La.html
/products?category=giro,,http://live-you-sport.mybigcommerce.com/brands/Leon-Paul.html
/products?category=gizmo,,http://live-you-sport.mybigcommerce.com/brands/LES-MILLS.html
/products?category=gki,,http://live-you-sport.mybigcommerce.com/brands/LEUKO.html
/products?category=gm,,http://live-you-sport.mybigcommerce.com/brands/Leverage.html
/products?category=go-siwm,,http://live-you-sport.mybigcommerce.com/brands/LEW.html
/products?category=golf--2,,http://live-you-sport.mybigcommerce.com/brands/Li-Ning.html
/products?category=golf-sense,,http://live-you-sport.mybigcommerce.com/brands/Li%252dNing.html
/products?category=golsil,,http://live-you-sport.mybigcommerce.com/brands/Lifeline.html
/products?category=golware,,http://live-you-sport.mybigcommerce.com/brands/LifeTrak.html
/products?category=good-horse,,http://live-you-sport.mybigcommerce.com/brands/Limar.html
/products?category=gore,,http://live-you-sport.mybigcommerce.com/brands/Lobster.html
/products?category=gosen,,http://live-you-sport.mybigcommerce.com/brands/Magellan.html
/products?category=gray-nicolls--2,,http://live-you-sport.mybigcommerce.com/brands/Manica.html
/products?category=gray-nicolls,,http://live-you-sport.mybigcommerce.com/brands/Masuri.html
/products?category=gryphon,,http://live-you-sport.mybigcommerce.com/brands/Mavic.html
/products?category=gsi,,http://live-you-sport.mybigcommerce.com/brands/Max.html
/products?category=gymnic,,http://live-you-sport.mybigcommerce.com/brands/Mc-David.html
/products?category=ha-ko,,http://live-you-sport.mybigcommerce.com/brands/McDavid.html
/products?category=haglofs,,http://live-you-sport.mybigcommerce.com/brands/Mckinley.html
/products?category=harbinger,,http://live-you-sport.mybigcommerce.com/brands/Merrell.html
/products?category=harrod,,http://live-you-sport.mybigcommerce.com/brands/Miche.html
/products?category=harrow,,http://live-you-sport.mybigcommerce.com/brands/Mil%252dCom.html
/products?category=hdl,,http://live-you-sport.mybigcommerce.com/brands/Milestone-Pod.html
/products?category=head,,http://live-you-sport.mybigcommerce.com/brands/Misfit.html
/products?category=healthline,,http://live-you-sport.mybigcommerce.com/brands/Mizuno.html
/products?category=helly,,http://live-you-sport.mybigcommerce.com/brands/Montrail.html
/products?category=hexagon,,http://live-you-sport.mybigcommerce.com/brands/Moonwalkr.html
/products?category=hi-tec,,http://live-you-sport.mybigcommerce.com/brands/MRF.html
/products?category=high5,,http://live-you-sport.mybigcommerce.com/brands/Nabaiji.html
/products?category=hilly,,http://live-you-sport.mybigcommerce.com/brands/Nakamura.html
/products?category=hoka,,http://live-you-sport.mybigcommerce.com/brands/Nelco.html
/products?category=horizon,,http://live-you-sport.mybigcommerce.com/brands/New-Balance.html
/products?category=hotmuggs,,http://live-you-sport.mybigcommerce.com/brands/NewFeel.html
/products?category=huub,,http://live-you-sport.mybigcommerce.com/brands/Newton.html
/products?category=hydrapak,,http://live-you-sport.mybigcommerce.com/brands/Nike.html
/products?category=ibitz,,http://live-you-sport.mybigcommerce.com/brands/Nittaku.html
/products?category=icool,,http://live-you-sport.mybigcommerce.com/brands/Nivia.html
/products?category=igoal,,http://live-you-sport.mybigcommerce.com/brands/Nuvo.html
/products?category=ihealth,,http://live-you-sport.mybigcommerce.com/brands/Octane.html
/products?category=impertus,,http://live-you-sport.mybigcommerce.com/brands/Odyssey.html
/products?category=impulse,,http://live-you-sport.mybigcommerce.com/brands/Osel.html
/products?category=indpro,,http://live-you-sport.mybigcommerce.com/brands/Oxelo.html
/products?category=inesis,,http://live-you-sport.mybigcommerce.com/brands/Park.html
/products?category=infinite,,http://live-you-sport.mybigcommerce.com/brands/Park-Tool.html
/products?category=inov8,,http://live-you-sport.mybigcommerce.com/brands/Parrot.html
/products?category=inspire,,http://live-you-sport.mybigcommerce.com/brands/PCB.html
/products?category=irun,,http://live-you-sport.mybigcommerce.com/brands/Pedro.html
/products?category=iso-solid,,http://live-you-sport.mybigcommerce.com/brands/PF.html
/products?category=jack,,http://live-you-sport.mybigcommerce.com/brands/Phospor-Watch.html
/products?category=jagwire,,http://live-you-sport.mybigcommerce.com/brands/Ping.html
/products?category=jawbone,,http://live-you-sport.mybigcommerce.com/brands/Pinnacle.html
/products?category=jiang,,http://live-you-sport.mybigcommerce.com/brands/Planet.html
/products?category=joes,,http://live-you-sport.mybigcommerce.com/brands/Pocket-Radar.html
/products?category=joma,,http://live-you-sport.mybigcommerce.com/brands/Polar.html
/products?category=jonex,,http://live-you-sport.mybigcommerce.com/brands/Pota.html
/products?category=joola,,http://live-you-sport.mybigcommerce.com/brands/Pots.html
/products?category=k-swiss,,http://live-you-sport.mybigcommerce.com/brands/Pro-Bodyline.html
/products?category=kaizen,,http://live-you-sport.mybigcommerce.com/brands/PowerGlide.html
/products?category=kalenji,,http://live-you-sport.mybigcommerce.com/brands/Precor.html
/products?category=kamachi,,http://live-you-sport.mybigcommerce.com/brands/Presto.html
/products?category=kanton,,http://live-you-sport.mybigcommerce.com/brands/Prince.html
/products?category=karakal,,http://live-you-sport.mybigcommerce.com/brands/Phyode.html
/products?category=keen,,http://live-you-sport.mybigcommerce.com/brands/PRO-FIT.html
/products?category=kenda,,http://live-you-sport.mybigcommerce.com/brands/Pro%252dKennex.html
/products?category=keny,,http://live-you-sport.mybigcommerce.com/brands/Prokennex.html
