Category,SKU,Description,Specification,SP,MRP,SubCategory,productname,Size,imgurl3,imgurl2,imgurl1,stock
Puma Platinum 5000 Cricket Bat, 88978401,,,"Rs. 15,299.00","Rs. 17,999.00",,Puma Platinum 5000 Cricket Bat,,,,http://scssports.in/image/cache/data/total_dump/puma_platinum_5000-500x500.jpg, In Stock
Eagnas Combo 900 Stringing Machine, 17673,"
	,
	,
	","
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		",,,,Eagnas Combo 900 Stringing Machine,,,,http://scssports.in/image/cache/data/basketball/combo 900-500x500.jpg, In Stock
Nike Sports Bottle - 650 ml, 019228,,,Rs. 315.00,Rs. 350.00,,Nike Sports Bottle - 650 ml,,,,http://scssports.in/image/cache/data/Nike/019228-500x500.jpg, In Stock
SCS Billiard Triangle PVC-SCS 42-PVC, 400204,,,Rs. 64.00,Rs. 75.00,,SCS Billiard Triangle PVC-SCS 42-PVC,,,,http://scssports.in/image/cache/data/Pool/400204-500x500.png, In Stock
Tecnifibre Carboflex 130 Basaltex Squash Racket, SQ_069230,"
	Tecnifibre Carboflex 130 Basaltex Squash Racket  ,
	The Tecnifibre Carboflex 130 Basaltex Multiaxial squash racket is an improved version of the latest Carboflex racket.,
	Compared to its earlier models, the new release has extended feel and responsiveness. The racket has tear-drop head shape that provides superior control and features Tecnifibres newest technologies that ensure top-level performance.,
	It weighs 130g +/- 5g (4.7oz) and has a 77.5in2 (500cm2) head size. The racket is offered pre-strung with performance 305+ Black string and comes with super tacky and absorbent Absolute Squash grip.  ","
		Expertise Level : Advanced  ,
		Length  : 685 mm  ,
		Balance : 355 mm  ,
		Power level : High  ,
		Grip Size : Tec Dry Squash Grip  ,
		Weight : 130 gm  ,
		Head size : 500 sq cm  ,
		Pre-Strung : Yes  ,
		WSF Approved : Yes ","Rs. 5,880.00","Rs. 8,399.00",,Tecnifibre Carboflex 130 Basaltex Squash Racket,,,,http://scssports.in/image/cache/data/squash_rackets/SQ_069230-500x500.JPG, In Stock
Vijayanti Scorpian Hockey Stick - 37.5 inch, SCORPIAN_375,"
	","
		The Scorpian hockey stick has been built with double fiberglass that makes the stick very durable yet light and easy to maneuver. The stick has a laminated handle with a PVC leather grip that together make handling the stick easy.,
		This hockey stick for senior players has a trendy sticker finish that gives the stick a stylish look.,
		This carefully crafted hockey stick gives you the power, precision and speed you need in the game.    ,
		Vijayanti Sports was established in the year 1975 and has been producing and exporting a variety of sports goods all over the world. Known for their quality hockey sticks and gear, Vijayanti helps promote the game in the nation.",Rs. 770.00,Rs. 800.00,,Vijayanti Scorpian Hockey Stick - 37.5 inch,,,,http://scssports.in/image/cache/data/hockey/scorpian-500x500.jpg, In Stock
GKI Euro V Table Tennis Bat, 025634,"
	GKI Euro V Table Tennis Bat,
	First choice of world class table tennis champions ! These remarkably designed TT bats are extremely light in weight yet unbelievably long lasting in quality. Their rubber sponge with high elastic micropore gives extra power with good control. These comfortable and player friendly TT bats are visually appealing and functionally superior.,
	Speed : 94,
	Spin : 93,
	Control : 95",,"Rs. 1,260.00","Rs. 1,576.00",,GKI Euro V Table Tennis Bat,,,,http://scssports.in/image/cache/data/euro-v-500x500.png, In Stock
Wilson Zone 40 Badminton Racket, 033234,,,Rs. 792.00,Rs. 990.00,,Wilson Zone 40 Badminton Racket,3 3/8                        ,,,http://scssports.in/image/cache/data/apparels/033234-500x500.jpg, In Stock
Gray Nicolls Powerbow Gen X-GN5.5 English Willow Cricket Bat, 030916,,,"Rs. 9,540.00","Rs. 10,599.00",,Gray Nicolls Powerbow Gen X-GN5.5 English Willow Cricket Bat,,,,http://scssports.in/image/cache/data/gm/030916-500x500.jpg, In Stock
Joola Carbon Table Tennis Blade, Carbon,"
	Joola Carbon Table Tennis Blade,
	 ",,"Rs. 1,600.00","Rs. 1,999.00",,Joola Carbon Table Tennis Blade,,,,http://scssports.in/image/cache/data/joola Carbon-500x500.jpeg, In Stock
