SKU,Description,imgurl,productname
,"Leveraging on our in depth domain knowledge and vast industry experience we are manufacturing , supplying, and exporting a broad gamut of Cricket Balls including Armstrong Cricket Ball that is made by using the highest grades of Veg. Tanned Leather. These are having robust stitching for unmatched durability and consistent shape. Our state of the art facilities have cutting edge automatic machines to produce these balls with unmatched precision of shape and size. These are subjected to rigorous quality tests that are in agreement with laid down standard of the industry. We offer these at industry leading rates to our patrons.Features:  Excellent performance Unmatched finish Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/IB/WS/MY-3458336/cricket-ball-bdm-armstrong-250x250.jpg,Armstrong Cricket Ball
,"Leveraging on our sound reputation of manufacturing, supplying, and exporting various cricket accessories we are offering Cricket Hat that is designed for seamless protection against dun light and made from the finest grades of canvas that are procured from trusted vendors. These hats are having classic style and stitched to perfection by our adept technicians. We maintain stringent norms of quality in accordance with industry standards and offer these at economical prices.Features:  Robust stitching Long service life Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/OG/DP/MY-3458336/cricket-hat-250x250.jpg,Cricket Hat
,"Our clients are being offered a wide array of Cricket Equipment by us. We source the finest grades of raw materials from established vendors and manufacture these by using cutting edge technologies. These are subjected to rigorous norms of quality that are in agreement with industry standards. These are designed as per ICC norms and offered at leading industry rates to our valued patrons.Features:  Long functional life Flawless finish Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/ER/YE/MY-3458336/cricket-equipment-250x250.jpg,Cricket Equipment
,"Our clients are being offered a wide array of Cricket Equipments by us that include Cricket Abdo Guard. We source the finest grades of raw materials from established vendors and manufacture these by using cutting edge technologies. These are subjected to rigorous norms of quality that are in agreement with industry standards. These are designed as per ICC norms and offered at leading industry rates to our valued patrons.Features:  Long functional life Flawless finish Other Information
			Pay Mode Terms: L/C (Letter of Credit)Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/IN/YJ/MY-3458336/cricket-abdo-guard-250x250.jpg,Cricket Abdo Guard
,"Our clients are being presented an amazing array of Sports Wear such as White Cricket Wear. These are designed for ultimate comfort and made by using the finest grades of cotton and other fabrics that are procured from the renowned vendors. We have state of the art facilities to produce these by using cutting edge technologies and ensure stringent norms of quality by adhering to set industry standards. These are available in various sizes and fittings as per requirements.Features:  Comfortable for daylong use Flawless finish Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/XS/DN/MY-3458336/cricket-whites-250x250.jpg,White Cricket Wear
,"Our customers can avail from us a quality range of Cricket Bat for Cricket Academy made from high grade wood. The bat blade comprises of finest quality willow and the handle is made by using high quality cane to provide best gripping experience.Features:  Impeccable balance Easy pick up Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/UK/EW/MY-3458336/cricket-bat-for-cricket-academy-250x250.jpg,Cricket Bat for Cricket Academy
,"Our esteemed clients are offered a wide array of Cricket Protective Equipment such as Cricket Chest Guard. We source the raw materials that are of impeccable quality from renowned vendors of the domain and produce these by using latest technologies. We offer an entire gamut of these including L Guard, Leg Pads, Thigh Guards, Chest Guards and so forth. Our quality standards are at par with laid down norms of the industry and these are followed strictly by us.Features:  Seamless protection Unmatched protection Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/WU/YP/MY-3458336/cricket-chest-guard-moulded-250x250.jpg,Cricket Chest Guard
,"Our esteemed clients can avail a premium array of Cricket Wicket Keeping Gloves such as Cricket Wicket Keeping Gloves. We have used specially selected and the highest grades of lather to produce these and also used round web and special high tech pimpled rubber for palms that are cut out with round cuff. These are manufactured in our state of the art facilities by using high end technologies and in accordance with ICC norms. Features:  Vibrant colors Comfortable to wear Fully leather lined Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/UH/CV/MY-3458336/cricket-wicket-keeping-gloves-bdm-admiral-250x250.jpg,Cricket Wicket Keeping Gloves
,"Our esteemed clients can avail a premium array of Cricket Wicket Keeping Gloves such as Dynamic Batting Gloves. We have used specially selected and the highest grades of lather to produce these and also used round web and special high tech pimpled rubber for palms. These are manufactured in our state of the art facilities by using high end technologies and in accordance with modified MCC norms. Features:  English style cut Comfortable to wear Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/TS/WV/MY-3458336/cricket-wicket-keeping-gloves-bdm-aero-dynamic-250x250.jpg,Dynamic Batting Gloves
,"Our esteemed clients can avail a premium array of Cricket Wicket Keeping Gloves such as Matador Wicket Keeping Gloves. We have used specially selected and the highest grades of lather to produce these and also used round web and special high tech pimpled rubber for palms. These are manufactured in our state of the art facilities by using high end technologies and in accordance with ICC norms. Features:  Vibrant colors Comfortable to wear Other Information
			Delivery Time: depend on volume of the order
				",http://2.imimg.com/data2/HD/CV/MY-3458336/wicket-keeping-gloves-matador-250x250.jpg,Matador Wicket Keeping Gloves
,"Our esteemed customers are offered an impressive gamut of Cricket Batting Pads such as Cricket Batting Pad BDM LE that is designed for unmatched protection and made by using the finest grades of ship skin and additional hard plastic inserts on every finger It has trendy looks and offers great value for money. It is provided with top quality and durable toweling wrist band and has unbeatable professional quality.Features:  Flawless finish Highly flexible  Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/GK/BX/MY-3458336/cricket-batting-gloves-bdm-le-250x250.jpg,Cricket Batting Gloves BDM LE
,"Our esteemed patrons are offered a huge gamut of Cricket Bats including English Willow Cricket Bat (BDM- LE) that is designed with minimal weight and huge profile. It has 30mm to 40mm edge that empowers the batsman with great power. We use limited G++ grades of English Willow that is naturally seasoned to manufacture these and design with large sweet spot for that extra stroke power. It has BDM Power Ark Blade with large edges and fitted with toe guard for added protection and has 12 piece swark cane handle for unmatched feel, flex, and control. Features:  Supreme balance and stroke Best value for money  Specification:  Size Super Heavy Weight 2lb 8oz to 2lb 14oz Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/EG/VA/MY-3458336/cricket-bat-bdm-le-250x250.jpg,English Willow Cricket Bat
,"Our impressive range of Cricket Batting Gloves includes premium variety such as Commander Batting Gloves that offers supreme protection and made by using pre bent tri flex fingers that are filled with high density foam and 2 piece thumb for absolute comfort and controlled grip. It is facilitated with air flow gussets for ventilation with a toweling inlay on the back of the hand to reduce sweating and absorb moisture. These are provided with additional lateral finger protection and premium quality leather palms.Features:  Unmatched comfort Seamless protection Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://2.imimg.com/data2/NO/PN/MY-3458336/commander-250x250.jpg,Commander Batting Gloves
,"Our passion to offer a wide array of premium Cricket Balls to our esteemed clients has enabled us to present Four Piece Cricket Ball (BDM Aero Dynamic) that is made from the finest grades of “A” grade Alum Tanned Leather and other raw materials that are procured from the authorized vendors of the domain. We use cutting edge technologies and manufacture these balls with completely automatic process to ensure uniformity and perfection of shape and other dimensions. These have robust stitching and flawless finish. Our valued clients can avail these at reasonable rates.Features:  Dependable performance Outstanding finish Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/SN/SU/MY-3458336/cricket-ball-bdm-aero-dynamic-250x250.jpg,Four Piece Cricket Ball
