sku,New Sku,category,Description,Color,Specification,SP,MRP,productname,imgurl1,Stock,imgurl,Size
#4700,AXS11131,Season Sale,"
                    2 Per Set NSN # 6515-00-442-4818 Noise Reduction Rating: 25 Decibels Super-soft Hypo-allergenic
Silicone Offers Unsurpassed Comfort And Protection
Three Ultra Thin Flanges Provide Exceptional Fit While Minimizing Pressure To The Inner Ear Insuring
A High Level Of Acceptance Among Users May Be Reused Indefinitely Simply Wash In Warm Soapy
Water Without Compromising Flexibility Comfort Or Protective Capabilities
        ","
                
            ","2 Per Set NSN # 6515-00-442-4818 Noise Reduction Rating: 25 Decibels Super-soft Hypo-allergenic,Silicone Offers Unsurpassed Comfort And Protection,Three Ultra Thin Flanges Provide Exceptional Fit While Minimizing Pressure To The Inner Ear Insuring,A High Level Of Acceptance Among Users May Be Reused Indefinitely Simply Wash In Warm Soapy,Water Without Compromising Flexibility Comfort Or Protective Capabilities",,Rs200.00,Rothco Genuine G.I. Earplugs,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_genuine_g.i._earplugs.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_genuine_g.i._earplugs.jpg,
#4700,AXS11132,Camping ; Outdoor,"
                    2 Per Set NSN # 6515-00-442-4818 Noise Reduction Rating: 25 Decibels Super-soft Hypo-allergenic
Silicone Offers Unsurpassed Comfort And Protection
Three Ultra Thin Flanges Provide Exceptional Fit While Minimizing Pressure To The Inner Ear Insuring
A High Level Of Acceptance Among Users May Be Reused Indefinitely Simply Wash In Warm Soapy
Water Without Compromising Flexibility Comfort Or Protective Capabilities
        ","
                
            ","2 Per Set NSN # 6515-00-442-4818 Noise Reduction Rating: 25 Decibels Super-soft Hypo-allergenic,Silicone Offers Unsurpassed Comfort And Protection,Three Ultra Thin Flanges Provide Exceptional Fit While Minimizing Pressure To The Inner Ear Insuring,A High Level Of Acceptance Among Users May Be Reused Indefinitely Simply Wash In Warm Soapy,Water Without Compromising Flexibility Comfort Or Protective Capabilities",,Rs200.00,Rothco Genuine G.I. Earplugs,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_genuine_g.i._earplugs.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_genuine_g.i._earplugs.jpg,
#4816,AXS11133,Camping ; Outdoor,"
                    Will hold heat for 30-40 minutes.
Produces up to 130F of heat in just 5 seconds. Instant Portable
        ","
                
            ","Will hold heat for 30-40 minutes.,Produces up to 130F of heat in just 5 seconds. Instant Portable",,Rs650.00,Rothco Ez Heat Handwarmer,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/z/ez_heat_handwarmer_4816.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/z/ez_heat_handwarmer_4816.jpg,
#4878,AXS11134,Clothing,"
                    
Brand:Rothco
Dimensions: waist 30-44
Gender / Age: Adult
Material:Cotton
Material Specs:100% Cotton
Weather:Cold Weather
Pockets:6
Closures / Fasteners:Zipper
Printable:Yes
Color:Black, Khaki, Olive Drab, Tiger Stripe Camo, Woodland Camo
Waist Size:30, 32, 34, 36, 38, 40, 42, 44

        ","
                
            ",,,"Rs3,200.00",Rothco Vintage 6-Pocket Flat Front Fatigue Pants,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/8/4878_rothco_1.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/8/4878_rothco_1.jpg,
#491,AXS11135,Camping ; Outdoor,"
                    
Meets ballistic impact test mil-prf-31013
Low profile goggle that easily converts to ballistic spectacle
Optional rx insert available
Meets ansi high velocity impact standard
Nsn or gsa approved items come with hard case

        ","
                
            ",,,"Rs4,850.00",WILEYX GOGGLE CQC,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/i/wileyx_cqc.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/i/wileyx_cqc.jpg,
#5059,AXS11136,Footwear,"
                    
BREATHABLE SNOW BOOTS
PADDED COLLAR
SUEDE LEATHER UPPER
RUBBER BOTTOM
REMOVABLE CUSHION INSOLE
100% WATERPROOF

        ","
                
            ",,,"Rs4,200.00",ROTHCO COLD WEATHER HIKING BOOT,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/o/boot_5059.png,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/o/boot_5059.png,
#5081,AXS11137,Footwear,"
                    Rothco's GI Style Jungle Boots Feature
A Canvas &amp; Nylon Upper, Black Leather Toe &amp; Heel
With A Black Rubber ""Panama"" Sole, 8"" High Boot.
        ",7;8                                 ,"Rothco's GI Style Jungle Boots Feature,A Canvas &amp; Nylon Upper, Black Leather Toe &amp; Heel,With A Black Rubber ""Panama"" Sole, 8"" High Boot.",,"Rs2,400.00",Rothco G.I. Style Jungle Boots,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_g.i._style_jungle_boots.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/images/catalog/product/placeholder/image.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_g.i._style_jungle_boots.jpg,"
                
            "
#5081,AXS11138,Season Sale,"
                    Rothco's GI Style Jungle Boots Feature
A Canvas &amp; Nylon Upper, Black Leather Toe &amp; Heel
With A Black Rubber ""Panama"" Sole, 8"" High Boot.
        ",7;8                                 ,"Rothco's GI Style Jungle Boots Feature,A Canvas &amp; Nylon Upper, Black Leather Toe &amp; Heel,With A Black Rubber ""Panama"" Sole, 8"" High Boot.",,"Rs2,400.00",Rothco G.I. Style Jungle Boots,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_g.i._style_jungle_boots.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/images/catalog/product/placeholder/image.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_g.i._style_jungle_boots.jpg,"
                
            "
#51,AXS11139,Season Sale,"
                    Heavy Duty Steel Construction
        ","
                
            ",Heavy Duty Steel Construction,,"Rs1,200.00",Rothco Heavy Weight Steel Handle Folding Pick & Shovel,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_heavy_weight_steel_handle_folding_pick_shovel..jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_heavy_weight_steel_handle_folding_pick_shovel.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_heavy_weight_steel_handle_folding_pick_shovel..jpg,
#51,AXS11140,Camping ; Outdoor,"
                    Heavy Duty Steel Construction
        ","
                
            ",Heavy Duty Steel Construction,,"Rs1,200.00",Rothco Heavy Weight Steel Handle Folding Pick & Shovel,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_heavy_weight_steel_handle_folding_pick_shovel..jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_heavy_weight_steel_handle_folding_pick_shovel.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_heavy_weight_steel_handle_folding_pick_shovel..jpg,
