SKU,category,category2,Description,Description1,imgurl,productname
2001,Bike Care,Repair,Tyre levers,"Colours : Blue, white and red or black,Material : Resin technopolymer ",http://www.zefal.com/83-355-thickbox/dp20.jpg,DP20
1190,Bike Care,Maintenance,"Brush with hard density bristles, perfect for cleaning the chain and freewheel,Five in one:",Length : 160 to 230 mm / 6.3'' to 9'',http://www.zefal.com/93-316-thickbox/zb-multi.jpg,ZB Multi
1990,Bike Care,Repair,"Tyre levers,Highly resistant, unbreakable,The thin shape provides an easy passage between the rim and tyre,Do not damage the rims,The hook end is reversible and allows dismantling and reassembling the tyre",Material : Resin technopolymer high performance,http://www.zefal.com/113-514-thickbox/z-levers.jpg,Z Levers
5151,Toe-clips & toe-straps,,,"Length : 440 mm,Material : Techno-polymer",http://www.zefal.com/77-258-thickbox/courroies-515xl-mt-christophe.jpg,Christophe Toe-Straps 515XL
7520,Racks,,"Universal for all types of bikes: 26’’ and 28’’,Adjustable and adaptable fixation,• Upper adjustment: multiple front adjustments to fit all frames,• Lower adjustment: multiple adjustments sliding system in height (3 positions).","Material : High resistant hollow aluminium 6061 structure,Maximum load : 25 kg (complying with EN 14872 standard),Self size : 370 x 125 mm / 14.5 x 4.9’’,Weight : 900 g ,UG_Discovery_Zéfal","http://www.zefal.com/116-287-thickbox/discovery.jpg,http://www.zefal.com/116-584-thickbox/discovery.jpg",Discovery
4740,Safety,Mirrors,"Retractable handle-bar-end-mirror,Ideal for sport use on road bikes﻿.","Handlebar diameter : From 16.5 mm to 21 mm,Material : Unbreakable chrome plated plastic,Mirror : Convex,Mirror surface : 15 cm²,Mounting : Universal bar end fitting (left and right),Weight : 45 g,UG_Spin_Zéfal","http://www.zefal.com/100-286-thickbox/spin.jpg,http://www.zefal.com/100-654-thickbox/spin.jpg",Spin
1060,Safety,Others accessories,"Small and discreet, the Piing is still effective and safe thanks to its powerful sound.﻿, ,QUICK MOUNTING﻿ -> Easy and quick installation.﻿","Material : Aluminium cap – black or shinny silver ,Mounting : Clip on handlebar from Ø 19 to 26,4 mm","http://www.zefal.com/143-303-thickbox/piing.jpg,http://www.zefal.com/143-518-thickbox/piing.jpg,http://www.zefal.com/143-519-thickbox/piing.jpg",Piing
2610,Protection,,"Minimalist and effective end-piece protection, the Crank Armor protects cranks against impact and stones.﻿,IMPACT RESIST﻿ -> Durability and high resistance.﻿,QUICK MOUNTING﻿ -> Easy mounting on the crank.﻿","Length : 69 mm / 2,7"",Material : Soft,Weight : 20 g","http://www.zefal.com/237-691-thickbox/crank-armor.jpg,http://www.zefal.com/237-694-thickbox/crank-armor.jpg,http://www.zefal.com/237-693-thickbox/crank-armor.jpg",Crank Armor
7069,Bags,,"Made of PEVA and BPA free the 2L Bladder is highly resistant and easy to open and clean. You will be able to carry 2 L in the bag for your long rides.﻿,SMART VALVE﻿ -> Automatic opening and closure. Anti-microbial material.﻿,BPA FREE﻿ -> Complying with the food standards.﻿","Capacity : 2 L,Dimensions : 340 x 165 mm,Hose length 1000 mm,Material : PEVA",http://www.zefal.com/238-695-thickbox/2l-bladder.jpg,2L Bladder
4941,Safety,Locks,"Hardened steel with a double protective coating,U-lock mechanism,The cable provides additional security for the wheels and the saddle﻿,Quick mounting on the bike with clips,Provided with 3 keys and mounting bracket, ","Diameter : 13 mm,Dimensions : 115 x 230 mm,Lenght : 1200 mm,Material : Hardened steel - double protective coating,Rod diameter : 10 mm,Weight : 1.6 kg",http://www.zefal.com/202-450-thickbox/k-traz-u13.jpg,K-Traz U13 Cable
137,Bottles,," ,﻿,﻿","Capacity : 700 ml / 23 oz ,Colours : Brushed aluminium,Material : Aluminium with a special linner coating,Opening : Screw-on",http://www.zefal.com/65-274-thickbox/alu-137.jpg,Alu 137
4942,Safety,Locks,"Hardened steel with a double protective coating,U-lock mechanism,Quick mounting on the bike with clips,Provided with 3 keys and mounting bracket, ","Diameter : 14 mm,Dimensions : 115 x 292 mm,Material : Hardened steel - double protective coating,Weight : 1.6 kg",http://www.zefal.com/203-451-thickbox/k-traz-u13.jpg,K-Traz U14
1720,Bottle cages,,Chromed steel bottle cage with leather cover﻿﻿,"Colours : Brown,Diameter : 4 mm,Material : Chromed steel with leather cover,Weight : 80 g",http://www.zefal.com/55-233-thickbox/porte-bidon-vintage.jpg,Vintage
4160,Inflation,CO2 pumps,"Available in several sizes, the 16g threaded C02 cartridges are designed to inflate quickly a tire to a high pressure. Good compromise between weight and capacity, it will serve you during your long rides. Fit with all inflators in the market.﻿, ","Size : 16 g,Type of cartridges : Threaded	,Weight : 60 g,UG_CO2Charts_Zéfal","http://www.zefal.com/220-563-thickbox/co2-cartridges-16g.jpg,http://www.zefal.com/220-564-thickbox/co2-cartridges-16g.jpg,http://www.zefal.com/220-565-thickbox/co2-cartridges-16g.jpg,http://www.zefal.com/220-566-thickbox/co2-cartridges-16g.jpg",CO2 cartridges 16G
2290,Mudguards,,Mudguard set for kids bike.,"Blade width : 55 mm / 2.2"",Material : Techno-polymer resin ,Mounting : Front: adjustable L shape steel bracket
Rear: adjustable L shape steel bracket and clip on frame,Weight : 165 g,Wheels diameter : 16'' and 20''","http://www.zefal.com/123-343-thickbox/kid.jpg,http://www.zefal.com/123-344-thickbox/kid.jpg",Kid
1071,Inflation,CO2 pumps,"Universal cartridges mounting system on seat post or frame for 2 threaded cartridges and 1 CO2 inflator (for instance our EZ Control)﻿﻿﻿,Works with all diameters,Rubber part ensures a good grip,Doesn’t scratch,Sold separately or with 2 cartridges and 1 EZ Control.","Material : Rubber,Mounting : Universal mounting system on seat post or frame for 2 threaded cartridges and 1 CO2 inflator (for instance our EZ Control),Weight : 15 g,UG_CO2Holder_Zéfal","http://www.zefal.com/129-237-thickbox/co2-holder.jpg,http://www.zefal.com/129-392-thickbox/co2-holder.jpg",CO2 Holder
2430,Mudguards,,Front and rear mudguard set for city or trekking bikes.,"Blade width : 45 mm / 1.8"",Diameter : 28"" / 700c ,Material : Techno-polymer resin ,Mounting : Front: adjustable L shape steel bracket
Rear: adjustable L shape steel bracket and clip on frame,Weight : 150 g","http://www.zefal.com/122-348-thickbox/trail.jpg,http://www.zefal.com/122-349-thickbox/trail.jpg",Trail
2470,Mudguards,,Reflective ring﻿.,"Blade width : 45 mm / 1.8"",Material : Techno-polymer resin,Mounting : On seat post / adjustable clamp all type of seat post - Ø 25 – 32 mm,Weight : 150 g,Wheels diameter : 700c / 28'',UG_SwanRoad_Zéfal","http://www.zefal.com/187-724-thickbox/swan-road.jpg,http://www.zefal.com/187-725-thickbox/swan-road.jpg",Swan Road
2375,Mudguards,,Flexible dual material spoiler.,"Blade width : From 50 to 70 mm / From 1.9'' to 2.7'',Material : Techno-polymer resin with dual material spoiler,Mounting : Rubber straps mounting system - tube up to Ø 55 mm maxi,Weight : 60 g,Wheels diameter : 700c / 28'',UG_CroozerRoad_Zéfal",http://www.zefal.com/189-726-thickbox/croozer-road.jpg,Croozer Road
2460,Mudguards,,"Front and rear MTB mudguard, Suitable for rigid MTB.","Blade width : 60 mm / 2.4"",Material : Techno-polymer resin ,Mounting : Front: adjustable L shape steel bracket
Rear: adjustable L shape steel bracket and clip on frame,Weight : 305 g,Wheels diameter : 24'' and 26''","http://www.zefal.com/121-341-thickbox/classic.jpg,http://www.zefal.com/121-342-thickbox/classic.jpg",Classic
2510,Mudguards,,"First plant-based bike mudguards,Up to 50% plant-based - 100% recyclable - Made in France,Originally from vegetable crops, produced locally in France, Green'Z is a range of mudguards with a low environmental footprint.,Biosourced over 50%, the Deflector FC50 Green’Z is part of a sustainable approach, offering an alternative to fossil fuels. The material used reduces greenhouse gaz emissions by 65% compared to conventional mudguards.,These universal mudguard for city and hybrid bikes offer you an excellent protection, even on rough terrain.﻿,STRAP FIXATION﻿ -> Elastomeric straps.﻿, ","Blade width : From 60 to 80 mm / From 2.4' to 3.2',Material : Resin with up to 50% plant-based,Mounting : On downtube (Ø Maxi 75mm),Weight : 62 g,Wheels diameter : 26'' - 28''	,UG_DeflectorFC50GreenZ_Zéfal","http://www.zefal.com/185-545-thickbox/deflector-fc50.jpg,http://www.zefal.com/185-499-thickbox/deflector-fc50.jpg,http://www.zefal.com/185-541-thickbox/deflector-fc50.jpg",Deflector FC50 Green'z
2515,Mudguards,,"First plant-based bike mudguards,Up to 50% plant-based - 100% recyclable - Made in France,Originally from vegetable crops, produced locally in France, Green'Z is a new range of mudguards with a low environmental footprint.,Biosourced over 50%, the Deflector RC50 Green’Z is part of a sustainable approach, offering an alternative to fossil fuels. The material used reduces greenhouse gaz emissions by 65% compared to conventional mudguards. These universal mudguard for city and hybrid bikes offer you an excellent protection, even on rough terrain.﻿,REFLECTIVE STRIP﻿ -> For a better visibility by night.﻿","Blade width : From 47 to 60 mm / From 1.9"" to 2.4"",Material : Resin with up to 50% plant-based	,Mounting : On seat post / adjustable clamp - all type of seat post Ø 25 – 32 mm,Weight : 125 g,Wheels diameter : 26'' - 28''	,UG_DeflectorRC50GreenZ_Zéfal","http://www.zefal.com/186-546-thickbox/deflector-rc50.jpg,http://www.zefal.com/186-502-thickbox/deflector-rc50.jpg,http://www.zefal.com/186-547-thickbox/deflector-rc50.jpg",Deflector RC50 Green'z
 2541 - 2542,Mudguards,,"Our mudguards with stays will bring you satisfaction via top-levelprotection and the high quality mounting system. Available in 2 sizes.﻿,WHEEL COVER﻿ -> Better protection of the  rider and following companions by covering more than 80% of the wheel.﻿,BIKE PROTECTION﻿ -> The mudguard’s lower extension protects the front derailleur.﻿,MADE FOR 26"" & 28""﻿ -> Universal.﻿,REFLECTIVE PART﻿ -> Better safety via increased visibility.﻿,U STAYS﻿ -> Keep the mudguard rigid.﻿, ,     ,     ","Blade width : C40: 40 mm / 1.6’’ - C50: 52 mm / 2''	,Material : Techno-polymer resin,Mounting : Stays and set square,Weight : C40: 436 g - C50: 498 g	
,Wheels diameter : 26'' - 28''	,UG_ParagonC40_Zéfal,UG_ParagonC50_Zéfal","http://www.zefal.com/216-536-thickbox/paragon-c40-c50.jpg,http://www.zefal.com/216-537-thickbox/paragon-c40-c50.jpg,http://www.zefal.com/216-538-thickbox/paragon-c40-c50.jpg,http://www.zefal.com/216-542-thickbox/paragon-c40-c50.jpg,http://www.zefal.com/216-543-thickbox/paragon-c40-c50.jpg,http://www.zefal.com/216-544-thickbox/paragon-c40-c50.jpg",Paragon C40 - C50
2540,Mudguards,,"The Shield R30 has been expressly made for road bikes. This mudguard ensures stable mounting via its U brackets and offers the best protection by covering almost the entire wheel.﻿,MD-QUICK FIXATION﻿ -> Easy to mount and remove.﻿,ROAD BIKES﻿ -> Made for road bikes with a 30 mm width.﻿,WHEEL COVER﻿ -> Better protection of the rider and following companions by covering more than 80% of the wheel.﻿,ADJUSTABLE CLIP﻿ -> Adjustable mounts tube to fit each bike’s geometry.﻿,EXTRA LONG SPOILER﻿ -> Included for optimal protection.﻿","Blade width : 30 mm / 1.18’’	
,Material : Technopolymer resin	
,Mounting : MD QUICK	
,Weight : 370 g	
,Wheels diameter : 700c	
,UG_ShieldR30_Zéfal","http://www.zefal.com/71-548-thickbox/shield.jpg,http://www.zefal.com/71-549-thickbox/shield.jpg,http://www.zefal.com/71-550-thickbox/shield.jpg,http://www.zefal.com/71-551-thickbox/shield.jpg,http://www.zefal.com/71-555-thickbox/shield.jpg",Shield R30
2500,Mudguards,,"Front MTB mudguard,Compatible with all kind of forks,Quick mounting system: universal, quick and easy to install,Remains rigid on rough terrain,Dual material spoiler: better protection and brings flexibility to the fender.","Blade width : From 60 to 73 mm / From 2.4'' to 2.9'',Material : Techno-polymer resin with dual material spoiler,Mounting : On steerer tube / Quick release universal system,Weight : 145 g,Wheels diameter : 26"",UG_DeflectorFM60_Zéfal,Deflector FM60","http://www.zefal.com/72-491-thickbox/deflector-fm60.jpg,http://www.zefal.com/72-492-thickbox/deflector-fm60.jpg,http://www.zefal.com/72-494-thickbox/deflector-fm60.jpg",Deflector FM60
2507,Mudguards,,"Our Deflector RM60+ mudguard ensure great protection even on rough terrain. Specially designed for mountain biking, it is easy to install and fit perfectly on your bike. The double orientation offers additional protection with an optimal fit.﻿,MD-TURN SYSTEM﻿ -> Quick screw-on mounting system on seat post from Ø 25 to 32 mm.﻿,DUAL MATERIAL SPOILER﻿ -> Better protection and brings flexibility to the fender.﻿,DOUBLE ORIENTATION﻿ -> Optimal tire coverage.﻿,REFLECTIVE RING﻿ -> For a better visibility.﻿","Blade width : From 66 to 72 mm / From 2,6"" to 2,8"",Material : Technopolymer resin with dual material spoiler,Mounting : MD-Turn - On seat post - Adjustable for Ø 25 to 32 mm,Weight : 220 g,Wheels diameter : 26"", 27.5"" &amp; 29'',UG_DeflectorRM60+_Zéfal","http://www.zefal.com/236-688-thickbox/deflector-rm60.jpg,http://www.zefal.com/236-689-thickbox/deflector-rm60.jpg,http://www.zefal.com/236-690-thickbox/deflector-rm60.jpg",Deflector RM60+
2505,Mudguards,," ,Quick mounting system: universal, quick and easy to install,Remains rigid on rough terrain,Dual material spoiler: better protection and brings flexibility to the fender ,Reflective ring,Angle adjustment for a better fit.","Blade width : From 66 to 72 mm / From 2.6'' to 2.8'',Material : Techno-polymer resin with dual material spoiler,Mounting : On seat post / Adjustable clamp - all type of seat post Ø 25-32 mm,Weight : 166 g,Wheels diameter : 26"" &amp; 27.5""","http://www.zefal.com/73-495-thickbox/deflector-rm60.jpg,http://www.zefal.com/73-496-thickbox/deflector-rm60.jpg,http://www.zefal.com/73-497-thickbox/deflector-rm60.jpg",Deflector RM60
1030,Inflation,Inflation accessories,Pump-tie for more secure fitting,,http://www.zefal.com/145-305-thickbox/doodad.jpg,Doodad
2530,Mudguards,,"Made for large wheel MTBs, the Deflector RM29 is the suitable protection for all your rides and races. With a robust and stylish look, the Deflector RM29 can be mounted on the swing arms of full suspension MTBs.﻿, ,MD-FIX SYSTEM﻿ -> Universal mounting system. Accurate setting with double adjustment.﻿,FULL-SUSPENSION READY﻿ -> Can be mounted on full suspension MTBs.﻿,MADE FOR 27.5"" AND 29""﻿ -> Optimal protection of large wheels 27.5"" and 29"".﻿,DUAL MATERIAL SPOILER -> Better protection and flexibility.﻿,ADJUSTABLE -> Wide range of adujstment.﻿,     ","Blade width : From 66 to 72 mm / From 2,6’’ to 2,8’’,Material : Technopolymer resin with dual material spoiler,Mounting : MD-Fix - On the seat stays - Adjustable from Ø17 to 41 mm,Weight : 220 g,Wheels diameter : 27.5"" &amp; 29""","http://www.zefal.com/223-573-thickbox/deflector-rm29.jpg,http://www.zefal.com/223-576-thickbox/deflector-rm29.jpg",Deflector RM29
2440,Mudguards,,"Universal front or rear mudguard, the No Mud can either be mounted on your fork or on your seat stays. The unique mounting system and overall design make this mudguard both effi cient and discreet. It is compatible with full suspension bikes.﻿,MD-FIX SYSTEM﻿ -> Universal mounting system. Accurate setting with double adjustment.﻿,FULL-SUSPENSION READY﻿ -> Can be mounted on full suspension MTBs.﻿,UNIVERSAL FIXATION﻿ -> Fixation on the fork or on the seat stays (Ø 17 to 41 mm).﻿,2 IN 1﻿ -> Universal front or rear mudguard.﻿,SPOILER﻿ -> Better protection.﻿","Blade width : 65 mm / 2.5"",Material : Technopolymer resin,Mounting : MD-Fix - On the seat stays - Adjustable from Ø17 to 41 mm,Weight : 190 g,Wheels diameter : 26"",UG_NoMud_Zéfal,No mud test","http://www.zefal.com/124-324-thickbox/no-mud.jpg,http://www.zefal.com/124-323-thickbox/no-mud.jpg,http://www.zefal.com/124-487-thickbox/no-mud.jpg",No Mud
6550,Inflation,Inflation accessories,,"Connection : Presta / Schrader ,Graduation : Bar or psi/bar,Pressure : 11 bar / 160 psi,Top accuracy :  0,15 bar / 2 psi,Weight : 35 g,UG_TwinGraph_Zéfal","http://www.zefal.com/45-612-thickbox/twin-graph.jpg,http://www.zefal.com/45-613-thickbox/twin-graph.jpg",Twin Graph
4060,Inflation,CO2 pumps,"CO2 inflator for both threaded and unthreaded cartridges,IPS (Inflate to Push System) for an accurate and easy flow regulation,Can contain a cartridge without emptying it,The cartridge will be emptied only when the pump comes into contact with the valve.","Connection : Universal Presta/ Schrader/ Dunlop,Length : 120 mm / 4.8"",Material : Thermoplastic,Type of cartridges : 12 g and 16 g unthreaded and 12 g, 16 g and 25 g threaded,Weight : 70g,UG_EZPlus_Zéfal,UG_CO2Charts_Zéfal","http://www.zefal.com/133-483-thickbox/ez-plus.jpg,http://www.zefal.com/133-484-thickbox/ez-plus.jpg",EZ Plus
1090,Inflation,Inflation accessories,"Universal fitting system for hand pumps on frame,2 rubber supports ensure a good performance and avoid any scratches on the frame.",,http://www.zefal.com/146-306-thickbox/doodad-.jpg,Doodad+
