SKU,category,category2,Description,Description1,imgurl,productname
4730,Safety,Mirrors,"Mirror compatible with any helmet,Easy to adjust,Ideal for trekking and leisure use ","Material : Unbreakable chrome plated plastic,Mirror : Convex,Mirror surface : 10 cm²,Mounting : Universal with Velcro straps,Orientation : Multiple rotating and longitudinal adjustments,Weight : 20 g,UG_ZEye_Zéfal","http://www.zefal.com/99-285-thickbox/z-eye.jpg,http://www.zefal.com/99-655-thickbox/z-eye.jpg",Z Eye
7031,Bags,,"Semi-rigid saddle bag,Wedge pack with aerodynamic styling and EVA shells to ensure the protection of your belongings. ,Wide opening to facilitate the access.,An elastic band inside maintains the content.","Capacity : 1 L / 33 oz,Dimensions : 160 x 85 x 90 mm,Material : extra tough 840 D
2 EVA hard shells
Reinforced sewing
Reflective strip
Water repellant zip,Mounting : Double Strap with seat post strap,Size : L,Weight : 110 g ,UG_IronPackL-DS_Zéfal","http://www.zefal.com/101-291-thickbox/iron-pack-l-ds.jpg,http://www.zefal.com/101-297-thickbox/iron-pack-l-ds.jpg,http://www.zefal.com/101-505-thickbox/iron-pack-l-ds.jpg",Iron Pack L-DS
1151,Bags,,"Waterproof and washable,Built-in rigid structure to keep the map opened,Folding format of the map :,MTB: 245 x 245 mm / Road: 120 x 245 mm","Material : Sealed PVC,Mounting : 3 Velcro straps : 1 on stem and 2 on handlebar",http://www.zefal.com/141-301-thickbox/doomap.jpg,Doomap
7030,Bags,,"Semi-rigid saddle bag, Wedge pack with aerodynamic styling and EVA shells to ensure the protection of your belongings. , Wide opening to facilitate the access., An elastic band inside maintains the content.","Capacity : 1 L / 33 oz,Dimensions : 160 x 85 x 90 mm,Material : Extra tough 840 D, 
2 EVA hard shells, 
Reinforced sewing, 
Reflective strip, 
Water repellant zip.,Mounting : T-shape fixing with seatpost strap, patented Zéfal system,Size : L,Weight : 160 g,UG_IronPackL-TF_Zéfal","http://www.zefal.com/102-292-thickbox/iron.jpg,http://www.zefal.com/102-298-thickbox/iron.jpg",Iron Pack L-TF
7021,Bags,,"Semi-rigid saddle bag,Wedge pack with aerodynamic styling and EVA shells to ensure the protection of your belongings.,Wide opening to facilitate the access.,An elastic band inside maintains the content.","Capacity : 0.7 L / 24 oz,Dimensions : 150 x 70 x 70 mm,Material : Extra tough 840 D, 
2 EVA hard shells, 
Reinforced sewing, 
Reflective strip, 
Water repellant zip.,Mounting : Double Strap with seat post strap,Size : M,Weight : 95 g ,UG_IronPackM-DS_Zéfal","http://www.zefal.com/103-293-thickbox/iron-pack-m-ds.jpg,http://www.zefal.com/103-299-thickbox/iron-pack-m-ds.jpg,http://www.zefal.com/103-506-thickbox/iron-pack-m-ds.jpg",Iron Pack M-DS
7020,Bags,,"Semi-rigid saddle bag, Wedge pack with aerodynamic styling and EVA shells to ensure the protection of your belongings. , Wide opening to facilitate the access., An elastic band inside maintains the content.","Capacity : 0,7 L / 24 oz,Dimensions : 150 x 70 x 70 mm,Material : Extra tough 840 D, 
2 EVA hard shells, 
Reinforced sewing, 
Reflective strip, 
Water repellant zip.,Mounting : T-shape fixing with seatpost strap, patented Zéfal system,Size : M,Weight : 145 g,UG_IronPackM-TF_Zéfal","http://www.zefal.com/104-294-thickbox/iron-pack-m-tf.jpg,http://www.zefal.com/104-300-thickbox/iron-pack-m-tf.jpg",Iron Pack M-TF
7042,Bags,,"Ultra light bag,Strap attachment on saddle rails – no seat post strap. ,Provides enough room for a tube, 2 tyre levers.﻿","Capacity : 0.3 L / 10 oz,Dimensions : XS - 130 x 60 x 60 mm,Material : Water repellant 420D RIPSTOP Polyester, 
Waterproof zip, 
Reflective logo.,Size : XS,Weight : 34 g,UG_ZLightPackXS_Zéfal","http://www.zefal.com/106-296-thickbox/z-light-pack-xs.jpg,http://www.zefal.com/106-582-thickbox/z-light-pack-xs.jpg,http://www.zefal.com/106-583-thickbox/z-light-pack-xs.jpg",Z Light Pack XS
7040,Bags,,"Ultra light bag,Strap attachment on saddle rails + seat post strap. ,Provides enough room for a tube, 2 tyre levers and a multi tool or a CO2 inflator (like the EZ Push).","Capacity : 0,5 L / 16 oz,Dimensions : S - 140 x 70 x 65 mm,Material : Water repellant 420D RIPSTOP Polyester, 
Waterproof zip, 
Reflective logo.,Size : S,Weight : 40 g,UG_ZLightPackS_Zéfal",http://www.zefal.com/105-295-thickbox/z-light-pack-s.jpg,Z Light Pack S
5161,Toe-clips & toe-straps,,,"Colours : Black, white, brown,Length : 370 mm,Material : Top quality leather",http://www.zefal.com/76-257-thickbox/christophe-leather-toe-straps.jpg,Christophe Leather Toe-Straps
 0506 - 0507,Toe-clips & toe-straps,,"French cyclist born on the 22nd of January 1885 in Paris, Eugène Christophe is viewed as the inventor of the toe-clip. In 1925, he sold his invention to Poutrait-Morin (known now as Zéfal), and was the Director of the company until his death in 1970.,Since then, Zéfal never stopped selling these legendary Christophe toe-clips.,2 sizes available : S/M and L/XL","Material : Chromed steel ,Pronged toe-clip : Simple","http://www.zefal.com/75-255-thickbox/cale-pieds-christophe.jpg,http://www.zefal.com/75-256-thickbox/cale-pieds-christophe.jpg",Christophe Steel Toe-Clips
