Item Type,Product ID,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order,Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image File - 1
Rule,,[S]Size= - Youth,,[FIXED]955,[FIXED]955,[FIXED]955,,N2008BLY3,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Size= - Boys,,[FIXED]955,[FIXED]955,[FIXED]955,,N2008BLB3,NELCOSPORTS,,,,100,,,,,,,,,
Product,,Rage (Batting Legguard),Nelco Sports,1890,1890,1890,"

",N2008BLM2NELPRD,NELCOSPORTS,Batting Legguards,Rage (Batting Legguard),15-23 Working days,100,N,-150,Get your hands on the Rage (Batting Legguard). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Rage (Batting Legguard) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Rage (Batting Legguard) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1386404942_RAGE.JPG
Product,,Prodigy (Batting Legguard),Nelco Sports,620,620,620,"

",N2008BLM4NELPRD,NELCOSPORTS,Batting Legguards,Prodigy (Batting Legguard),15-23 Working days,100,N,-150,Get your hands on the Prodigy (Batting Legguard). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Prodigy (Batting Legguard) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Prodigy (Batting Legguard) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1386408022_PRODIGY copy.jpg
Rule,,[S]Size= - Mens ,,[FIXED]620,[FIXED]620,[FIXED]620,,N2008BLM4,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Size= - Youth ,,[FIXED]620,[FIXED]620,[FIXED]620,,N2008BLY1,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Size= - Boys,,[FIXED]620,[FIXED]620,[FIXED]620,,N2008BLB1,NELCOSPORTS,,,,100,,,,,,,,,
Product,,Brute(Batting Legguards),Nelco Sports,1590,1590,1590,"


",N2008BLM3NELPRD,NELCOSPORTS,Batting Legguards,Brute(Batting Legguards),15-23 Working days,100,N,-150,Get your hands on the Brute(Batting Legguards). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Brute(Batting Legguards) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Brute(Batting Legguards) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1386405125_BRUTE copy.jpg
Product,,Spitfire(Batting Legguard),Nelco Sports,2070,2070,2070,"

",N2008BLM1NELPRD,NELCOSPORTS,Batting Legguards,Spitfire(Batting Legguard),15-23 Working days,100,N,-150,Get your hands on the Spitfire(Batting Legguard). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Spitfire(Batting Legguard) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Spitfire(Batting Legguard) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1386404339_SPITFIRE copy.jpg
Product,,Spitfire (WKG),Nelco Sports,1620,1620,1620,"

",N2008WGM3NELPRD,NELCOSPORTS,Wicket Keeping Gloves ,Spitfire (WKG),15-23 Working days,100,N,-150,Get your hands on the Spitfire (WKG). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Spitfire (WKG) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Spitfire (WKG) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1387801359_WKG-SPITFIRE JR. BOYS.jpg
