Category,SKU,Description,Review,SP,MRP,CP,SP,productname,Size,imgurl3,imgurl2,imgurl1,stock
Yonex ArcSaber,[ARC-FB JP],"

    
        
            
            Specifications:
            
            
            Yonex ArcSaber FB JP
            
        
        
            
            Stiffness
            
            
            Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric
            New Built-in T-Joint Technology
            
        
        
            
            Frame
            
            
            HM Graphite
            CS Carbon Nanotube
            
        
        
            
            Shaft
            
            
            HM Graphite
            Nanometric
            
        
        
            
            Weight
            
            
            5U (75-79g)
            F(6U) (70-74g)
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            674mm (26.5 inches)
            
        
        
            
            Grip Size
            
            
            FG5, FG6
            5UG5, 5UG6 (subject to availability)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-24lbs
            
        
        
            
            Cross 22-26lbs
            
        
        
            
            Balance Point from Grip End
            
            
            290-300mm
            
        
    

",,,"235.00
                        ",14805,17766,Yonex ArcSaber FB JP,,,http://www.mybadmintonstore.com/shop/images/YonexARC-FB.jpg,http://www.mybadmintonstore.com/shop/images/YonexARC-FB.jpg,
Li-Ning N-Series,[AYPH158-1],"

    
        
            
            Specifications:
            
            
            Li-Ning N-90III (LD)
            Tailor-Made For LIN Dan
            
        
        
            
            Stiffness
            
            
            Medium Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            TB Nano Dynamic Optimum Frame
            MPCF Reinforcing Technology
            HDF Shock Absorption System
            
        
        
            
            Shaft
            
            
            TB-Nano Shaft
            Bio-Inner Cone
            Aerotec Beam System
            
        
        
            
            Weight
            
            
            W3 (3U) (85-89g)
            
        
        
            
            Total Length (frame tip - handle end)
            
            
            675mm (26.5 inches)
            
        
        
            
            Grip Size
            
            
            S2 (G2)
            (S2 = Thin, S4 = Thick)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-24lbs
            
        
        
            
            Cross 22-26lbs
            
        
        
            
            Balance Point from Grip End
            
            
            300-304mm (Head Heavy)
            
        
    

",,,"237.00
                        ",14931,17917.2,Li-Ning MegaPower N-90III,,,"http://www.mybadmintonstore.com/shop/images/LNN90IIILinDan.jpg,http://www.mybadmintonstore.com/shop/images/LNN90IIIFrameAR.jpg,http://www.mybadmintonstore.com/shop/images/LNN90IIIFrameBR.jpg,http://www.mybadmintonstore.com/shop/images/LNN90IIIFrameCR.jpg,http://www.mybadmintonstore.com/shop/images/LNN90IIIFrameDR.jpg,http://www.mybadmintonstore.com/shop/images/LNN90IIIFrame1R.jpg,http://www.mybadmintonstore.com/shop/images/LNN90IIIShaftR.jpg",,
Yonex ArcSaber,[ARC-11 JP],"

    
        
            
            Specifications:
            
            
            Yonex ArcSaber 11 JP
            
        
        
            
            Stiffness
            
            
            Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric
            New Built-in T-Joint - T-ANCHOR
            
        
        
            
            Frame
            
            
            HM Graphite
            Neo CS Carbon Nanotube
            Sonic Metal
            
        
        
            
            Shaft
            
            
            HM Graphite + Ultra PEF
            
        
        
            
            Weight
            
            
            2UG4, 2UG5
            3UG4, 3UG5
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            674mm (26.5 inches)
            
        
        
            
            Grip Size
            
            
            G4 / G5 (subject to availability)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-24lbs
            
        
        
            
            Cross 22-26lbs
            
        
        
            
            Balance Point from Grip End
            
            
            285-295mm
            
        
    

",,,"242.00
                        ",15246,18295.2,Yonex ArcSaber 11 JP,,,http://www.mybadmintonstore.com/shop/images/YonexARC11JP.jpg,http://www.mybadmintonstore.com/shop/images/YonexARC11JP.jpg,
Strings,[BG-66 SP],"

    
        
            
            Specifications:
            
            
            Yonex® BG-66 Badminton String
            
        
        
            
            Packing
            
            
            10m bag
            
        
        
            
            Minimum Order Quantity
            
            
            30 bags
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            Micron 66 Synthetic String
            0.66mm / 22 gauge
            
        
    

",,,"243.00
                        ",15309,18370.8,Yonex BG-66 SP (box of 30),,,,,
Yonex ArcSaber,[ARC-10PG],"

    
        
            
            Specifications:
            
            
            Yonex ArcSaber 10 PG SP/IP
            
        
        
            
            Stiffness
            
            
            Extra Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric
            New Built-in T-Joint Technology
            
        
        
            
            Frame
            
            
            HM Graphite
            CS Carbon Nanotube + Super HMG
            Hybrid Technology
            
        
        
            
            Shaft
            
            
            HM Graphite + Ultra PEF
            Control Support Cap
            New Soft Leather Grip
            
        
        
            
            Weight
            
            
            3U (85-89g)
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            674mm (26.5 inches)
            
        
        
            
            Grip Size
            
            
            3UG4 - 1 piece
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-24lbs
            
        
        
            
            Cross 22-26lbs
            
        
        
            
            Balance Point from Grip End
            
            
            285-295mm
            
        
    

,,",,,"245.00
                        ",15435,18522,Yonex ArcSaber 10 Peter Gade SP/IP,,images/YonexARC10PG.jpg,,,
Strings,[NBG-95-2 Export],"

    
        
            
            Specifications:
            
            
            Yonex® NBG-95-2
            Export Packing
            
        
        
            
            Packing
            
            
            200m Reel
            
        
        
            
            Minimum Order Quantity
            
            
            2 Reels
            
        
        
            
            Available Color
            
            
            See option below
            (subject to stock availability)
            
        
        
            
            Material
            
            
            Micron 95 Synthetic String
            0.69mm / 22 gauge
            
        
    

",,,"Yonex Nanogy NBG-95 EX (200m) (two reels) 
                        ",15435,18522,Yonex Nanogy NBG-95 EX (200m) (two reels),,,,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/YYNBG95200.jpg,
Yonex ArcSaber,[ARC-ZS JP],"

    
        
            
            Specifications:
            
            
            Yonex® ArcSaber Z-Slash JP
            
        
        
            
            Stiffness
            
            
            Stiff 
            
        
        
            
            Frame Shape
            
            
            Semi-isometric
            
        
        
            
            Frame
            
            
            Nano Carbon + CS Carbon Nanotube
            New Compact Frame Structure
            Reduces air resistance by 29%
            
        
        
            
            Shaft
            
            
            Ultra PEF + Super HM Graphite
            Super Slim Long Shaft
            New Octagonal CS Cap with Rubber Ring
            
        
        
            
            Weight
            
            
            3U (2U by special request)
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            674mm (26.5 inches)
            
        
        
            
            Grip Size
            
            
            G4 / G5 (subject to availability)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-22lbs
            
        
        
            
            Cross 22-24lbs
            
        
        
            
            Balance Point from Grip End
            
            
            290-300mm
            
        
    

,,",,,"247.00
                        ",15561,18673.2,Yonex ArcSaber Z-Slash JP,,images/YonexArcZFrameA25.jpg,,,
Yonex Voltric,[VT-ZF2 JP],"

    
        
            
            Specifications:
            
            
            Yonex® Voltric Z-Force II JP
            
        
        
            
            Stiffness
            
            
            Extra Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric
            New Built-in T-Joint Technology
            
        
        
            
            Frame
            
            
            HM Graphite, Tri-Voltage System
            Sound Filter
            Nanometric Tungsten
            
        
        
            
            Shaft
            
            
            EX-HMGraphite Nanometric
            Extra Slim Shaft
            
        
        
            
            Weight
            
            
            3U (85-89g)
            4U (80-84g)
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm (26.5 inches)
            
        
        
            
            Grip Size
            
            
            3UG4, 3UG5
            4UG4, 4UG5
            
        
        
            
            Recommended String Tension 
            
            
            3U: 20-28lbs
            
        
        
            
            4U: 19-27lbs
            
        
        
            
            Balance Point from Grip End
            
            
            295-305mm (Head Heavy)
            
        
    

",,,"247.00
                        ",15561,18673.2,Yonex Voltric Z-Force II JP,,,"http://www.mybadmintonstore.com/shop/images/YonexVTZFII1.jpg,http://www.mybadmintonstore.com/shop/images/YonexVTZFII2.jpg,http://www.mybadmintonstore.com/shop/images/YonexVTZFII3.jpg,http://www.mybadmintonstore.com/shop/images/YonexVTZFII4.jpg,http://www.mybadmintonstore.com/shop/images/YonexVTZF2JPSpec.jpg","http://www.mybadmintonstore.com/shop/images/YonexVTZFII1.jpg,http://www.mybadmintonstore.com/shop/images/YonexVTZFII2.jpg,http://www.mybadmintonstore.com/shop/images/YonexVTZFII3.jpg,http://www.mybadmintonstore.com/shop/images/YonexVTZFII4.jpg,http://www.mybadmintonstore.com/shop/images/YonexVTZF2JPSpec.jpg",
Feather,[HQ RED],"

    
        
            
            Specifications:
            
            
            Hi-Qua® Shuttlecock RED
            
        
        
            
            Grade
            
            
            International Tournament
            
        
        
            
            Material
            
            
            Supreme Grade White Goose Feather
            
        
        
            
            Packing
            
            
            12 Shuttles / Tube, 50 Tubes / Carton
            Aluminium Foil Inlay For Humidity Retention
            
        
        
            
            Endorsement
            
             
        
        
            
            MOQ
            
            
            10 Tubes
            
        
    

",,,"249.00
                        ",15687,18824.4,Hi-Qua RED (10 tubes),,,,,
Strings,[BG-80P-2 Export],"

    
        
            
            Specifications:
            
            
            Yonex® BG-80P-2
            Export Packing
            
        
        
            
            Packing
            
            
            200m Reel
            
        
        
            
            Minimum Order Quantity
            
            
            2 Reels
            
        
        
            
            Available Color
            
            
            See option below
            (subject to stock availability)
            
        
        
            
            Material
            
            
            Micron 68 Synthetic String
            0.68mm / 22 gauge
            
        
    

",,,"253.00
                        ",15939,19126.8,Yonex BG-80 Power EX (200m) (two reels),,,,http://www.mybadmintonstore.com/shop/images/YonexBG80Power200m.jpg,
Strings,[NBG-98-2 Export],"

    
        
            
            Specifications:
            
            
            Yonex Nanogy NBG-98 (200m)
            Badminton String
            
        
        
            
            Packing
            
            
            200m reel
            
        
        
            
            Minimum Order Quantity
            
            
            2 reels
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            Carbon Nanofiber String
            0.66mm / 22 gauge
            
        
    

",,,"Yonex Nanogy NBG-98 EX (200m) (two reels) 
                        ",15939,19126.8,Yonex Nanogy NBG-98 EX (200m) (two reels),,,,http://www.mybadmintonstore.com/shop/images/YonexNBG98EX200m.JPG,
Strings,[BG-65Ti SP],"

    
        
            
            Specifications:
            
            
            Yonex® BG-65Ti 
            Badminton String
            
        
        
            
            Packing
            
            
            10m bag
            
        
        
            
            Minimum Order Quantity
            
            
            50 bags
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            Micron 65 Synthetic String with Titanium Coating
            0.70mm / 22 gauge
            
        
    

",,,"255.00
                        ",16065,19278,Yonex BG-65Ti SP (box of 50),,,,,
Yonex NanoRay,[NR-ZSP JP],"

    
        
            
            Specifications:
            
            
            Yonex® NanoRay Z-Speed JP
            
        
        
            
            Stiffness
            
            
            Stiff
            
        
        
            
            Frame Shape
            
            
            Wide Isometric / New Built-in T-Joint
            
        
        
            
            Frame
            
            
            High Repulsion Nanopreme
            EX-HM Graphite + Sonic Metal
            
        
        
            
            Shaft
            
            
            HM Graphite + X-Fullerene
            
        
        
            
            Weight
            
            
            2U (90-94g)
            3U (85-89g)
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm (26.5 inches)
            
        
        
            
            Grip Size
            
            
            2UG4, 2UG5
            3UG4, 3UG5
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-26 lbs
            
        
        
            
            Cross 22-28 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            285-295mm (Head Balance)
            
        
    

",,,"255.00
                        ",16065,19278,Yonex NanoRay Z-Speed JP,,,,"http://www.mybadmintonstore.com/shop/images/YonexNR-ZSJP.jpg,http://www.mybadmintonstore.com/shop/images/YonexRacketChart2013(1).jpg",
Feather,,"

    
        
            
            Specifications:
            
            
            MBS® CLUB Badminton Shuttlecocks
            
        
        
            
            Grade
            
            
            Club &amp; Interclub Tournament
            
        
        
            
            Material
            
            
            Selected Grade White Goose Feather
            
        
        
            
            Packing
            
            
            12 Shuttles / Tube, 50 Tubes / Carton
            
        
        
            
            Endorsement
            
             
        
        
            
            MOQ
            
            
            25 Tubes
            
        
    

",,,"265.00
                        ",16695,20034,MBS CLUB (25 tubes),,,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/MBSClub25.jpg,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/MBSClub25.jpg,
Kason SuperLight,[R-280],"

    
        
            
            Specifications:
            
            
            Kason Rocket 280
            
        
        
            
            Stiffness
            
            
            Mid-Flex
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            HM Graphite + Titanium
            
        
        
            
            Shaft
            
            
            HM Graphite
            
        
        
            
            Weight
            
            
            4U (80-84g)
            
        
        
            
            Total Length (frame tip - handle end)
            
            
            675mm (26.5 inches)
            
        
        
            
            Grip Size
            
            
            NG5 (Yonex G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 18-22lbs
            
        
        
            
            Cross 20-24lbs
            
        
        
            
            Balance Point from Grip End
            
            
            295-305mm
            
        
    

",,,"270.00
                        ",17010,20412,Kason Rocket 280 (5 pcs),,,"http://www.mybadmintonstore.com/shop/images/KasonRocket280GY.jpg,http://www.mybadmintonstore.com/shop/images/KasonRocket280RD.jpg","http://www.mybadmintonstore.com/shop/images/KasonRocket280GY.jpg,http://www.mybadmintonstore.com/shop/images/KasonRocket280RD.jpg",
Feather,[C-1101],,,,"270.00
                        ",17010,20412,Snow Peak C-1101 (Premium Grade) (10 tubes),,,,,
Feather,[HQ GREEN],"

    
        
            
            Specifications:
            
            
            Hi-Qua® Shuttlecock GREEN
            
        
        
            
            Grade
            
            
            Club Practice &amp; General Purpose
            
        
        
            
            Material
            
            
            Standard Grade White Duck Feather
            
        
        
            
            Packing
            
            
            12 Shuttles / Tube, 50 Tubes / Carton
            Aluminium Foil Inlay For Humidity Retention
            
        
        
            
            Endorsement
            
             
        
        
            
            MOQ
            
            
            25 Tubes
            
        
    

",,,"275.00
                        ",17325,20790,Hi-Qua GREEN (25 tubes),,,,,
Li-Ning N-Series,[N-33II],"

    
        
            
            Specifications:
            
            
            Li-Ning Rocks N-33II
            
        
        
            
            Stiffness
            
            
            Stiff - Flex
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            TB Nano Powertec Carbon Frame
            MPCF Reinforcing Technology
            HDF Shock Absorption System
            
        
        
            
            Shaft
            
            
            UHB Carbon Shaft
            Low Air-resistance Design
            
        
        
            
            Weight
            
            
            W3 (3U) (85-89g)
            
        
        
            
            Total Length (frame tip - handle end)
            
            
            675mm (26.5 inches)
            
        
        
            
            Grip Size
            
            
            S2 (G2)
            (S2 = Thin, S4 = Thick)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-24bs
            
        
        
            
            Cross 22-26lbs
            
        
        
            
            Balance Point from Grip End
            
            
            287-293mm
            
        
    

",,,"Li-Ning Rocks N-33II (one pair) 
                        ",17829,21394.8,Li-Ning Rocks N-33II (one pair),,,"http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/LNN33IIShaftR.jpg,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/LNN33IIR.jpg","http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/LNN33IIShaftR.jpg,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/LNN33IIR.jpg",
Strings,[NBG-98 JP],"

    
        
            
            Specifications:
            
            
            Yonex Nanogy NBG-98 JP Badminton String
            
        
        
            
            Packing
            
            
            10m bag
            
        
        
            
            Minimum Order Quantity
            
            
            30 bags
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            Carbon Nanofiber String
            0.66mm / 22 gauge
            
        
    

",,,"295.00
                        ",18585,22302,Yonex Nanogy NBG-98 JP (box of 30),,,"http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/NBG98JP25.jpg,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/YonexNBG98NewColor25.jpg,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/YonexNBG98Pink25.jpg","http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/NBG98JP25.jpg,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/YonexNBG98NewColor25.jpg,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/YonexNBG98Pink25.jpg",
Yonex Titanium,[Ti-10 (III)],"

    
        
            
            Specifications:
            
            
            Yonex Ti-10 Long SP/IP
            (Generation III)
            
        
        
            
            Stiffness
            
            
            Extra Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric / Built-in T-Joint
            
        
        
            
            Frame
            
            
            HM Graphite + Ti Mesh 
            
        
        
            
            Shaft
            
            
            UHM Graphite
            
        
        
            
            Weight
            
            
            2U (90-94g)
            
        
        
            
            Total Length (frame tip - handle end)
            
            
            675mm (26.5 inches)
            
        
        
            
            Grip Size
            
            
            2UG5 ONLY
            
        
        
            
            Recommended String Tension 
            
            
            Main 17-20lbs
            
        
        
            
            Cross 18-22lbs
            
        
        
            
            Balance Point from Grip End
            
            
            285-295mm
            
        
    

",,,"309.00
                        ",19467,23360.4,Yonex Ti-10 Long SP/IP (Gen. III) (one pair),,,,,
adidas adiPower,[RK103401],"

    
        
            
            Specifications:
            
            
            adidas adiPower DuoForce
            
        
        
            
            Stiffness
            
            
            Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            Pure Nano Carbon
            ZYLON Super Fibre, X-TRA Titanium
            Dual Force Box Frame
            22 x 21 (78 holes)
            
        
        
            
            Shaft
            
            
            Pure Nano Carbon
            Straight Shaft 7.0mm
            
        
        
            
            Weight
            
            
            89 +/- 2g
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm
            
        
        
            
            Grip Size
            
            
            Grip 5 (G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-25 lbs
            
        
        
            
            Cross 22-27 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            283 +/- 3mm (Even Balance)
            For Doubles (Speed &amp; Smash)
            
        
    

",,,"adidas adiPower DuoForce (one pair) 
                        ",19845,23814,adidas adiPower DuoForce (one pair),,,"http://www.mybadmintonstore.com/shop/images/AdiPower_DuoforceFullR35.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_DuoforceR80.jpg",,
adidas adiPower,[RK103401],"

    
        
            
            Specifications:
            
            
            adidas adiPower DuoForce
            
        
        
            
            Stiffness
            
            
            Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            Pure Nano Carbon
            ZYLON Super Fibre, X-TRA Titanium
            Dual Force Box Frame
            22 x 21 (78 holes)
            
        
        
            
            Shaft
            
            
            Pure Nano Carbon
            Straight Shaft 7.0mm
            
        
        
            
            Weight
            
            
            89 +/- 2g
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm
            
        
        
            
            Grip Size
            
            
            Grip 5 (G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-25 lbs
            
        
        
            
            Cross 22-27 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            283 +/- 3mm (Even Balance)
            For Doubles (Speed &amp; Smash)
            
        
    

",,,"adidas adiPower DuoForce (one pair) 
                        ",19845,23814,adidas adiPower DuoForce (one pair),,,"http://www.mybadmintonstore.com/shop/images/AdiPower_DuoforceFullR35.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_DuoforceR80.jpg",,
Yonex Armortec,[AT-700],"

    
        
            
            Specifications:
            
            
            Yonex Armortec 700 SP/IP
            (Gen II)
            
        
        
            
            Stiffness
            
            
            Extra Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric / Built-in T-Joint
            New Power Armor Technology
            
        
        
            
            Frame
            
            
            UHM Graphite + gForceTi 
            
        
        
            
            Shaft
            
            
            Hi-Mod Graphite + UltimumTi
            
        
        
            
            Weight
            
            
            3U / 4U (subject to stock availability)
            
        
        
            
            Total Length (frame tip ï¿½ handle end)
            
            
            675mm (26.5 inches)
            
        
        
            
            Grip Size
            
            
            G4 / G5
            
        
        
            
            Recommended String Tension 
            
            
            Main 18-22lbs (8-10kg)
            
        
        
            
            Cross 20-24lbs (9-11kg)
            
        
        
            
            Balance Point from Grip End
            
            
            290-300mm
            
        
    

",,,"315.00
                        ",19845,23814,Yonex Armortec 700 SP/IP (Gen II) (one pair),,,,,
adidas adiPower,[RK104401],"

    
        
            
            Specifications:
            
            
            adidas adiPower Tour
            
        
        
            
            Stiffness
            
            
            Medium
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            Pure Nano Carbon
            ZYLON Super Fibre, X-TRA Titanium
            Dual Force Box Frame
            22 x 21 (78 holes)
            
        
        
            
            Shaft
            
            
            Pure Nano Carbon
            Straight Shaft 7.0mm
            
        
        
            
            Weight
            
            
            86 +/- 2g
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm
            
        
        
            
            Grip Size
            
            
            Grip 5 (G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-25 lbs
            
        
        
            
            Cross 22-27 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            290 +/- 3mm (Even Balance)
            For Men's / Ladies' Doubles
            (Speed &amp; Smash)
            
        
    

",,,"315.00
                        ",19845,23814,adidas adiPower Tour (one pair),,,"http://www.mybadmintonstore.com/shop/images/AdiPower_TourFullR35.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_Tour_R80.jpg","http://www.mybadmintonstore.com/shop/images/AdiPower_TourFullR35.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_Tour_R80.jpg",
adidas adiPower,[RK104401],"

    
        
            
            Specifications:
            
            
            adidas adiPower Tour
            
        
        
            
            Stiffness
            
            
            Medium
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            Pure Nano Carbon
            ZYLON Super Fibre, X-TRA Titanium
            Dual Force Box Frame
            22 x 21 (78 holes)
            
        
        
            
            Shaft
            
            
            Pure Nano Carbon
            Straight Shaft 7.0mm
            
        
        
            
            Weight
            
            
            86 +/- 2g
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm
            
        
        
            
            Grip Size
            
            
            Grip 5 (G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-25 lbs
            
        
        
            
            Cross 22-27 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            290 +/- 3mm (Even Balance)
            For Men's / Ladies' Doubles
            (Speed &amp; Smash)
            
        
    

",,,"315.00
                        ",19845,23814,adidas adiPower Tour (one pair),,,"http://www.mybadmintonstore.com/shop/images/AdiPower_TourFullR35.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_Tour_R80.jpg","http://www.mybadmintonstore.com/shop/images/AdiPower_TourFullR35.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_Tour_R80.jpg",
,[RK104401],"

    
        
            
            Specifications:
            
            
            adidas adiPower Tour
            
        
        
            
            Stiffness
            
            
            Medium
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            Pure Nano Carbon
            ZYLON Super Fibre, X-TRA Titanium
            Dual Force Box Frame
            22 x 21 (78 holes)
            
        
        
            
            Shaft
            
            
            Pure Nano Carbon
            Straight Shaft 7.0mm
            
        
        
            
            Weight
            
            
            86 +/- 2g
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm
            
        
        
            
            Grip Size
            
            
            Grip 5 (G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-25 lbs
            
        
        
            
            Cross 22-27 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            290 +/- 3mm (Even Balance)
            For Men's / Ladies' Doubles
            (Speed &amp; Smash)
            
        
    

",,,"315.00
                        ",19845,23814,adidas adiPower Tour (one pair),,,"http://www.mybadmintonstore.com/shop/images/AdiPower_TourFullR35.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_Tour_R80.jpg","http://www.mybadmintonstore.com/shop/images/AdiPower_TourFullR35.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_Tour_R80.jpg",
,[RK103401],"

    
        
            
            Specifications:
            
            
            adidas adiPower DuoForce
            
        
        
            
            Stiffness
            
            
            Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            Pure Nano Carbon
            ZYLON Super Fibre, X-TRA Titanium
            Dual Force Box Frame
            22 x 21 (78 holes)
            
        
        
            
            Shaft
            
            
            Pure Nano Carbon
            Straight Shaft 7.0mm
            
        
        
            
            Weight
            
            
            89 +/- 2g
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm
            
        
        
            
            Grip Size
            
            
            Grip 5 (G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-25 lbs
            
        
        
            
            Cross 22-27 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            283 +/- 3mm (Even Balance)
            For Doubles (Speed &amp; Smash)
            
        
    

",,,"adidas adiPower DuoForce (one pair) 
                        ",19845,23814,adidas adiPower DuoForce (one pair),,,"http://www.mybadmintonstore.com/shop/images/AdiPower_DuoforceFullR35.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_DuoforceR80.jpg",,
Feather,[EG1101],"

    
        
            
            Specifications:
            
            
            Aeroplane® Shuttlecock EG1101 Black Label
            
        
        
            
            Grade
            
            
            International Tournament
            
        
        
            
            Material
            
            
            Premium Grade White Goose Feather
            (Round Tip)
            
        
        
            
            Packing
            
            
            12 Shuttles / Tube, 50 Tubes / Carton
            Aluminium Foil Inlay For Humidity Retention
            
        
        
            
            Endorsement
            
            
            Approved by the IBF for International Play
            
        
        
            
            MOQ
            
            
            10 Tubes
            
        
    

",,,"315.00
                        ",19845,23814,Aeroplane EG1101 (10 tubes),,,,,
Strings,[BG-68Ti SP],"

    
        
            
            Specifications:
            
            
            Yonex® BG-68Ti Badminton String
            
        
        
            
            Packing
            
            
            10m bag
            
        
        
            
            Minimum Order Quantity
            
            
            50 bags
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            Micron 68 Synthetic String with Titanium Coating
            0.68mm / 22 gauge
            
        
    

",,,"321.00
                        ",20223,24267.6,Yonex BG-68Ti SP (box of 50),,,,,
Feather,,,,,"325.00
                        ",20475,24570,Hi-Qua GOLD (25 tubes),,,,,
Strings,[BG-85 SP],"

    
        
            
            Specifications:
            
            
            Yonex® BG-85 Badminton String
            
        
        
            
            Packing
            
            
            10m bag
            
        
        
            
            Minimum Order Quantity
            
            
            50 bags
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            Micron 85 Synthetic String with ""Vectran""
            0.67mm / 22 gauge
            
        
    

",,,"325.00
                        ",20475,24570,Yonex BG-85 SP (box of 50),,,,,
Strings,[BG-80 SP],"

    
        
            
            Specifications:
            
            
            Yonex® BG-80 Badminton String
            
        
        
            
            Packing
            
            
            10m bag
            
        
        
            
            Minimum Order Quantity
            
            
            50 bags
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            Micron 80 Synthetic String
            0.68mm / 22 gauge
            
        
    

",,,"325.00
                        ",20475,24570,Yonex BG-80 SP  (box of 50),,,,,
