productname,Description,Variant,MRP,imgurl1,,,,,,,,,,,,
TomTom Multi-Sports GPS Watch,"


Details

The TomTom Multi-Sport GPS watch + heart rate monitor lets you track, analyze and share your running, cycling and swimming metrics to help you stay motivated and reach your training goals.

Included Bluetooth® sensor with chest strap tracks your heart rate
Extra-large, durable and scratch-resistant display with high-resolution, high-contrast graphics lets you read your key training stats at a glance; view distance, time and pace
Navigate easily through menus with the intuitive one-button control
Stay focused on your activity with vibration alerts; hear beeps and feel vibrations to get milestone, lap and interval alerts, even when listening to music
For running, track your time, distance and pace outdoors or on a treadmill
When biking, the handlebar mount keeps your speed and distance in view, front-and-center; optional cadence/speed sensor (not included) measures pedal strokes
Track your swimming efficiency with strokes, stroke type, lengths, distance and speed, indoors and out
Three unique graphical training modes include Race, Goal and Zone
Race mode compares your current run with past performances; Goal mode helps you stay on track to achieve your goals; Zone mode helps you stay in the right training zone
Train anytime, anywhere with all-weather, waterproof construction, an indoor/treadmill tracker and up to 10 hours of battery life in GPS mode
QuickGPSFix technology helps your watch connect with GPS satellites and find your precise location quickly so you can start your activity
Multi-platform compatibility lets you sync, analyze and share your stats on popular running sites or apps; upload information about your runs to track against your goals
Light, ultra-slim design and comfortable strap fits all wrist sizes

Product Video:


",Grey - No HRM ;Grey - With Heart Rate Monitor +S$70.00;Grey - With Heart Rate Monitor + Cadence Sensor +S$150.00,S$349.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/t/tt_multisport_grey2_round_km.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/u/multisport_grey_menu.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/t/tt_multisport_grey2_sensors.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/u/multi-sport_grey_bike_mount.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/t/tt_multisport_grey1_distance.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/t/tt_multisport_grey2_race_km.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/t/tt_multisport_grey2_heart.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/u/multi-sport_grey_bike_mount_hrm.jpg,,,,,
Speedo Aquabeat LZR Racer Special Edition 2GB MP3 Player ,"


Details

This enhanced Aquabeat waterproof music player offers the same versatility and consistent performance as the popular first generation Speedo Aquabeat, but with new aggressive styling and double the data storage! A perfect companion for lap swimming or any aquatic activity.• Waterproof to 10 feet under water• Ergonomic buttons for ease of use while swimming• Floats in water for easy recovery• 2 GB of memory (500 MP3 / 1000 WMA files)• Compatible with iTunes• Ergonomic shape • Attaches to any goggle strap• Playtime up to 9 hours• Easily recharges through PC or laptop using USB portSystem requirements:• Compatible with MP3, VBR and WMA files• Windows: ME/2000/XP/Vista• USB portIncludes:• Waterproof music player• 2 extra earplug adaptors• Earphone extension cable • USB cable• Waterproof earphones• Playlist-making software• Mesh carying bag

",,S$219.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/6/16751-2.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/6/16751-7.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/6/16751-6.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/6/16751-5.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/6/16751-3.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/6/16751-4.jpg,,,,,,,
FINIS Instinct Sculling Paddles,"


Details

The ergonomically advanced design of the INSTINCT PADDLES helps teach swimmers the correct palm-positive hand position while sculling. The strapless design of the paddles heighten stroke awareness and emphasize stroke imperfections, making it easier to identify and correct technique. The Instinct Paddles’ convex design also promotes an early catch during the sculling motion and reminds the swimmer to maintain an early vertical forearm position. This versatile paddles work for all four strokes and are available in two sizes: Medium &amp; Large.
STRAPLESS DESIGN Ergonomic shape is designed to fit the natural contour of the hand
ENHANCE YOUR SCULLING AWARENESSConvex design encourages swimmers to establish traction with the water
PALM POSITIVEPaddles will remain in place if swimmer constantly maintains pressure against the water while sculling
ALL FOUR SWIM STROKESVersatile paddles work for freestyle, backstroke, breaststroke and butterfly
Available in sizes Medium &amp; Large


",Medium ;Large ,S$25.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/g/agilitypaddles-j-pair-hero-rt.png,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/g/agilitypaddles-usage-uw-rt.png,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/n/instinctpaddles-sizechart.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/a/paddle-comparison-chart.jpg,,,,,,,,,
Wahoo Fitness Run Pack,"


Details

Combiningall that you need to run, the run pack features the Wahoo Key and theWahoo Fitness soft heart rate belt in a convenient bundle. WahooFitness wirelessly connects your iPhone 3G, iPhone 3GS or iPhone 4 toyour favorite fitness measuring devices, including your heart ratesensor. With the Wahoo Key, your phone, your favorite playlists, thebest fitness Apps and real-time activity information are all in the palmof your hand... or strapped to your arm! 


Includes:

1 Wahoo Key
1 Wahoo Fitness Soft Heart Rate Belt

Note: Please see individual product pages for full product details 
Features:

very low power usageno internal battery
compact yet ruggedsimilar size to iPhone charging plug
compatible with iPhone 3G, 3GS, 4, iPod touch, iPadfits into 30-pin connector
sends and receives signals up to 10 feetunobstructed
wirelessANT+ AP2 ultra low power technology licence free, 2.4 GHz ISM band operation www.thisisant.com
Weight  3.5 grams (0.12 ounces)
Color    black











",,"
                    S$165.00                ",http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/e/getdynamicimage.aspx2.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/e/getdynamicimage.aspx_2.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/e/getdynamicimage.aspx1_1.jpg,,,,,,,,,,
TomTom Smart Bluetooth Heart Rate Strap,"


Details

Measure the intensity of your workout.

Speed up or slow down to stay in your training zone.
Bluetooth® Smart technology for enhanced battery life and compatibility.
Strap designed for maximum comfort.
Battery included (CR2032)

What's In The Box

Comfortable Premium Strap
Heart Rate Sensor
CR2032 Battery
Instruction Manual

Product Compatibility

TomTom Runner GPS Watch
TomTom Multi-Sports GPS Watch
Bluetooth Smart Ready Devices
iPhone 4S and above
Android 4.3 and above

Product Video


",,S$109.95,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/h/r/hrm2.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/h/r/hrm1.jpg,,,,,,,,,,,
Wahoo Fitness Bike Pack,"


Details

Bike pack 1 features the Wahoo Bike Case and the Wahoo Fitness Speed and Cadence sensor with a combo discount! Wahoo Fitness wirelessly connects your iPhone to your favorite ANT+fitness measuring devices. With Wahoo Fitness, your phone, your favoriteplaylists, the best fitness Apps and real-time activity information areall in the palm of your hand - or mounted on your bike, or in yourpocket.Add Ant+ capability to your iPhone! Read data fromstride sensors, bike speed and cadence sensors, bike power sensors andheart rate right on your iPhone! The Wahoo Bike Case encompasses WahooFitness sensor technology along with a water resistant protectivebarrier for your iPhone. The Wahoo Bike Case comes with a mount thatwill fit easily onto your mountain bike or road bikes handle bars. WILL NOT FIT IPod TOUCH!
Includes:

1 Wahoo Bike Case
1 Premium Speed and Cadence Bike Sensor

Note: Please see individual product pages for full product details
Features:

built in ANT+ radio transceiverwith support for all current and future ANT+ sensors
fits iPhone 3G, 3GS and 4, Verizon and AT&amp;T versions!ships with custom rubber liners to easily adapt between phone types
Wahoo Fitness Poweredsupported by most of the leading iPhone fitness Apps
water and shock resistant
bike mountwith quick release for Case/semi-permanent mount attachment to bike. Adjustable portrait or landscape orientation
microUSB portmicroUSB port for charging/data connection with tethered rubber plug when not in use
fully accessible/functional touch screen access
universal mounting railfor bicycle mount and auxiliary battery
optional auxiliary battery WahooFitness rail mounted 2.3 AmpHour battery (1.5x that of the iPhonebattery) or any auxiliary battery with microUSB plug compatible (soldseparately)
sends and receives signals up to 10 feetunobstructed


",,S$209.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/e/getdynamicimage.aspx1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/e/getdynamicimage.aspx_1.jpg,,,,,,,,,,,
TomTom Runner GPS Watch,"


Details


The TomTom Runner GPS watch helps keep you motivated and reach your running goals. Giving you easy access to all the information you need to help track your progress and boost your performance. You are also able to sync, analyse and share your stats on popular sports sites or apps. The TomTom Runner GPS has been designed with runners in mind, with a large display letting you see all your key stats at-a-glance. One-Button control lets you navigate through the menus quickly and easily, letting you get out on your run faster and keep you moving giving you easy access to the watch functions while on the move. The unit will also give you vibration and audio feed back from getting to your milestone &amp; lap and training alerts, so you can stay focused on your run.
Features:

Super-Tough Display - Super-tough scratch and impact-resistant display
Ultra-Slim Design - The slim design comfortably fits all wrist sizes.
Graphical Training Partner - View your training performance at-a-glance with three unique graphical training modes.
Race - Compare your current performance against a pre-set distance and time.See in ""real time"" how you are doing, so you can push yourself to improve, run after run.
Challenge yourself - See that you are on track to achieve your goals. Set a distance, time or calorie goal and check your progress in a simple full screen graphic.
Zone - Pace yourself: Instantly see if you are in the right training zone. Set a target for pace or heart rate* and see in a simple full screen graphic how you are tracking throughout your run. *Heart Rate Monitor optional accessory.
Indoor Tracker - Track your run indoors and on a treadmill. The TomTom Runner’s built-in sensors count your strides so you can monitor your pace and distance.
Waterproof up to 165 feet / 5ATM - Run in all kinds of weather. The TomTom Runner is waterproof up to 165 feet / 5ATM and as weather-ready as you are.
Up to 10 Hour Battery Life [GPS Mode] - Run more, recharge less, with up to 10 hour battery life [GPS Mode].
QuickGPSFix Technology - Get out on your run faster. QuickGPSFix helps your watch find your precise location quickly so you can start your run.
Desk Dock - Charge and sync your watch. The Desk Dock connects to your PC or Mac easily, quickly and reliably.
Multi-Platform Compatibility - Sync, analyse and share your stats on popular running sites or apps. Easily upload information about your runs to track progress against your goals. Learn more about TomTom MySports and data compatibility.
Bluetooth® Smart Connectivity - Connect to sensors using the latest wireless technology. The TomTom Runner uses Bluetooth® Smart Technology to connect to the TomTom Heart Rate Monitor* and other compatible Bluetooth® Smart accessories. *Heart Rate Monitor optional accessory.

Technical specs:

Battery lifetime: Up to 10 hours (GPS Mode)
Display size: 22x25mm
Display resolution: 144x168
Thickness: 11.5mm
Weight: 50 grams
Strap length: 11.5mm
Location: GPS + GLONASS
Sensors: Sensors (internal) Indoor Tracker, Compass
Water Resistance: Waterproofing 50m / 165 feet (5 ATM)
Pace/Speed: Pace
Distance/Calories: Yes
Steps: Yes
Cadence: No
Power: No
Records: Yes
Indoor Running: Yes
Outdoor Running: Yes
Cycling: No
Dedicated Bike mount: No
Swimming: No

Product Video:



",Grey - No HRM ;Pink - No HRM ;Grey - With Heart Rate Strap +S$70.00,S$299.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/t/tt_runner_grey1_distance.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/t/tt_runner_pink1_distance.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/t/tt_runner_pink2_round_km.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/t/tt_runner_grey2_heart.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/t/tt_runner_grey2_race_km.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/t/tt_runner_grey2_sensors.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/t/tt_runner_grey2_round_km.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/u/runner_grey_hrm_4.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/u/runner_grey_hrm_2.jpg,,,,
Polar H7 Heart Rate Strap,"


Details

Apple iPhone, Android and Polar Loop Compatible Heart Rate Monitor
The Polar H7 is a Bluetooth Heart Rate Sensor that provides live, accurate heart rate to your mobile training app - including Polar Beat - turning it into a smart training companion. The H7 is also compatible with a wide range of Polar watches, Polar Loop Activity Tracker and Gym equipment supporting the GymLink system.
The Polar H7 is a great heart rate monitor that can be used with both compatible Apple devices and Polar watches. As the Polar H7 Heart Rate Monitor is water resistant, it can also be used while swimming with a compatible Polar Heart Rate Watch such as the FT4, FT7 or FT60.
NOTE: The Polar H7 is compatible with select iOS devices (iPhone 4S and Above) and select Android devices (Android 4.3+ with Bluetooth 4.0 chip)

Provides heart rate information to compatible mobile training applications
Uses Bluetooth transmission, ensuring that the mobile device finds your heart rate signal
Includes a soft and comfortable hand washable textile chest strap
Water-resistant connector
User replaceable battery

Polar H7 Compatible Apple Devices

Polar Loop Activity Tracker
iPhone 5S
iPhone 5C
iPhone 5
iPhone 4S
iPad (3rd and 4th Generation)
iPad Mini
iPod Touch (5th Generation)
iPod Nano (7th Generation)
Android Devices (4.3 and above, with Bluetooth 4 Chip)


",,S$119.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/1/71dfgyc02zl._sl1500_.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/6/868203_ab_00_fb.eps_1000.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/o/polar-h7-bluetooth-smart-heart-rate-sensor_1.jpg,,,,,,,,,,
GolfSense 3D Golf Swing Analyzer ,"


Details

GolfSense 3D Golf Swing Analyzer
The GolfSense 3D Golf Swing Analysis System is the world’s first portable three dimensional sensor system designed to deliver real-time feedback and analysis of your golf swing. GolfSense will give you data for club speed, club position, swing tempo, and swing path, and display it on your mobile device.
The GolfSense's patented high velocity motion engine uses data from 4 discrete MEMS sensors inside the device to accurately calculate club speed, club position, swing tempo, and swing path. The revolutionary and free mobile app allows you to analyze each segment of your swing from any angle.
The application can be set to automatically capture and save every swing in rapid succession or just the ones you select with a simple press of the yellow button. Turn on “impact detection” and GolfSense will ignore your practice swings and only log those that pertain to actual ball contact.
Features:

3D view of swing plane
4 precision sensors transmit data to the GolfSense App
Provides accurate measurements over 1,000x/second of swing phases, club head speed, tempo, etc.
'Phone in Pocket’ feature measures hip rotation and lateral translation during your swing
Attaches to your glove and not your club
Weighs .6 ounces
Works with iPod, iPhone, iPad
Connects via Bluetooth
Sensors - 2 - Accelerometers, 1 - Gyroscope, 1 - Compass
Size: 2.5in x 1.5in x 0.3in
Battery life: Up to 5 hours
Charging: Cradle + USB cable (included)

Fits On Your Glove
Attaches easily to almost any golf glove. Simply slide the velcro strap on your glove through the rubber ""belts""on the back of GolfSense and you're all set. Unlike other products that require you to strap devices onto each club before you swing, GolfSense conveniently rests on the back of your glove always ready to go.

Ultra Lightweight
While it's packed with technology and innovation, GolfSense weighs in at just 0.6 oz (17 grams). It's so light that most people forget it's even on their glove.
Revolutionary Mobile Applications
GolfSense can detect the acceleration, velocity, tempo, position and posture of the device and the club by calculating sensor data at sample rates over 1,000 times per second. At the same time, the high velocity motion engine inside the software will divide the swing into different segments of club position and posture. The result is a highly accurate view of your swing down to the millisecond.
When it comes to calculating club head speed, GolfSense is within 3 mph of doppler radar systems such as TrackMan and laser systems such as GolfAchiever.
The GolfSense App is available for iPhone, iPod, iPad and Android mobile devices.

In-Depth Swing Analysis
The GolfSense app is driven by a powerful motion engine that delivers in-depth analysis of your golf swing presented in a clear, easy to use interface. Important information about each aspect of your swing, from your backswing all the way to the speed of your wrist rotation and everything in between, GolfSense provides the most comprehensive feedback of any golf swing analyzer on the market today.
 3D Motion Capture - How it Works
GolfSense is the world's first portable three dimensional sensor system designed to deliver real-time feedback and analysis of your golf swing. The patented high velocity motion engine uses data from 4 discrete MEMS sensors inside the device to accurately calculate club speed, club position, swing tempo, and swing path. The revolutionary and free mobile app allows you to analyze each segment of your swing from any angle. Review any single swing, or compare two separate swings at once within the application. GolfSense is not only a product, but it's a platform that will soon allow you to compare your swings to many others including professionals and coaches. Simply connect GolfSense to your mobile device via bluetooth, and let the fun begin. The application can be set to automatically capture and save every swing in rapid succession or just the ones you select with a simple press of the yellow button. Turn on ""impact detection"" and GolfSense will ignore your practice swings and only log those that pertain to actual ball contact. It's easy, fun, automatic, and awesome! Review any single swing, or compare two separate swings at once within the application. GolfSense is not only a product, but it's a platform that will soon allow you to compare your swings to many others including professionals and coaches.
Swing Guidance and Recommendations
Is your backswing too slow? Are you hitting the ball too early or decelerating before impact? As part of your golf swing analysis, GolfSense displays helpful recommendations, letting you know how you can modify your swing to improve your technique. With your swing history recorded, you'll be able to chart your progress over time as you work on improving each part of your swing.

Cloud Sync Multi-Device Sharing
Using GolfSense Cloud Sync technology, your swing history is easily accessible on any iOS or Android enabled device. By logging into your user account, you'll be able to sync your history to the cloud via any wireless or mobile data connection. You'll then be able to retrieve your data from any other wireless device where you have downloaded the GolfSense application. Now you can take your iPhone or Galaxy phone to the course to record your data and view your analysis later on the larger screen of your iPad.


",White  ;Black - Temporarily Out Of Stock ,S$169.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golfsense_black_sensor_iphone3.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/1/71_tqrwvb8l._sl1200_.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golfsense_main.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golfsense_motion_sensor_0001_layer_3_1024x1024.jpg_v_1378289645.jpg,,,,,,,,,
Polar Loop,"


Details

Polar Loop is the new standard in activity tracking: it tracks all your activity- every step and jump throughout the day - and shows how it's good for you.
Polar Loop Offers 24/7 activity tracking and registers your daily activity at different intensity levels continuously for 24 hours a day, 7 days a week. It shows resting and sitting times as well as daily activities at low, medium, and high intensities. It also counts daily calories and steps.
Move with the Polar Loop and track your active choices all day long. Learn how to reach your daily target. On your wrist, on the web, on your mobile.
Heart rate can also be tracked by using the optional Polar H7 bluetooth heart rate sensor.
Polar Loop is the activity tracker that makes you move.


Activity Guide helps you stay active all day long
Activity Benefit gives feedback about your daily, weekly and monthly activity
Displays daily activity, calories burned, steps taken, time of day feature
Free guidance with the Polar Flow app and Polar Flow web site
Compatible with Polar H7 Bluetooth Smart heart rate sensors
Waterproof




Polar Loop Training Features

24/7 activity tracking
Activity Guide
Steps
Polar Energy Pointer
Polar Flow Web Site and Polar Flow iPhone App (Android app coming soon)

Polar Loop Technical Features

Waterproof for swimming - WR20
Custom fit bracelet
LED display
Time of day (12/24h)
Low battery indicator
Rechargeable battery
Data transfer via supplied USB cable
Battery life: 5 days in continuous use
Memory capacity for 12 days of activity data
Web service compatibility with Mac OS X 10.6, OS X 10.7, OS X 10.8, or later, and PC Windows XP, Windows 7, Windows 8, or later
Mobile app compatibility with iOS 6 (iPhone 4S, iPhone 5, iPhone 5C, iPhone 5S, iPod touch 5th generation) or later

Polar Flow Web Site
When you know that you've just had one of your best training weeks ever it feels good to know that you can come back to that whenever you need an extra push. Check your workouts, highlights and feelings from your training diary and stay up to date on your achievements.

Polar Loop Compatible App
The Polar Flow app available from the Apple iTunes store tracks performance and progress right from your compatible apple iPhone.



In The Box

Polar Loop Activity Tracker
Custom USB Cable
Adjustment Tool

 

",,S$139.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/o/loop_blk_frontright_actvbar_hires.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/u/r/url.jpg,,,,,,,,,,,
iHealth Wireless Pulse Oximeter,"


Details

The Wireless Pulse Oximeter is a reliable way to spot-check blood oxygen saturation (SpO2) and pulse rate (BPM). This lightweight and portable device takes fast, noninvasive measurements at the fingertip. Track and view your SpO2 and BPM readings directly on the device’s display and in the iHealth SpO2 app during sports training or other recreational activities.
 
Feature:


Measure your blood oxygen saturation and pulse rate
View trends, and organize records
Share your results instantly with friends and family

Once you’ve downloaded the free “iHealth SpO2 app” from the App Store, you’ll be ready to use your Wireless Pulse Oximeter. We’ve made it easy for you to track your progress and get inspired to manage your personal health in a more hands-on way, wherever you go.
Specifications:

Product name: Wireless Pulse Oximeter Product model: PO3 Classification: Internally powered, type BF Device compatibility: iPhone 4S+, iPad 3+, iPad Mini, iPod touch 5th generation+ Display system: LED Power: Battery, 3.7V li-ion, 300mAh SpO2 measuring range: 70-99% SpO2 accuracy: 70-99%, ±2%; &lt;70%, no definition Pulse rate measuring range: 30-250bpm Pulse rate accuracy: ±2bpm or ±2% larger one Automatic shut-off: After 8 seconds of no indication on the sensors Operation environment: 5°C-40°C; Humidity &lt;80% Storage environment: -20°C-55°C; Humidity &lt;95% Size: 62mm * 33mm * 28mm

 
FAQ:

 
How does the iHealth Wireless Pulse Oximeter work? The iHealth Pulse Oximeter (PO3) measures the amount of oxygen in your blood and your pulse rate. The oximeter works by shining two light beams into the small blood vessels or capillaries of your finger, reflecting the amount of oxygen in the blood and displaying the measurement on the oximeter’sscreen. The oxygen saturation (SpO2) is measured as a percentage of full capacity.What iOS devices are iHealth Wireless Pulse Oximeter compatible? iPhone 4S + iPad 3+, iPad Mini iPod touch 5th generation +What is oxygen saturation (SpO2)? What is the normal range for SpO2? Oxygen saturation (SpO2) is a measurement of how much oxygen your blood is carrying as a percentage of the maximum it could carry. For a healthy individual, the normal SpO2 should be between 96% to 99%.High altitudes and other factors may affect what is considered normal for a given individual.What is consideredthe normal range for pulse rate? What are some factors that can influence pulse rate? The normal resting pulse rate is between 60 and 100 beats per minute.Many factors can influence pulse rate, including but not limited to physical activities, fitness level, emotional state, body weight, medications and body position.What is the measuring range and accuracy for the iHealth Wireless Pulse Oximeter? SpO2 measuring range: 70-99%. Average Root Mean Square (ARMS) of SpO2 accuracy: 80%~99%: ±2%, 70%~79%:±3%. Pulse rate measuring range: 30-250bpm. Pulse rate accuracy: 30~99bpm: ±2bpm, 100~250bpm: ±2%.What type of conditions may affect my SpO2 reading? Cold hands, weak pulse, hand movements, fingernail polish and acrylic nails are some of the most common factors that may affect a reading and cause inaccurate results.

",,S$129.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/1/7132_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/5/n51qu_2.jpg,,,,,,,,,,,
Magellan Echo | The Smart Running Watch,"


Details


Echo is the first running watch that utilizes smartphone fitness apps to their full potential by wirelessly connecting them to your wrist. With real-time fitness data streaming directly from your smartphone to the watch display and the ability to remotely control connected apps, Echo keeps you informed and in control during any run.
Echo is an extension of your smartphone, simultaneously displaying fitness data, notifications and achievements that display on your smartphone. Using Bluetooth Smart to wirelessly connect with smartphones, Echo shows elapsed time, distance and other fitness metrics at a glance. Echo gives you control over a variety of smartphone functions including start, stop or lap on your fitness app, and next song, play and pause on your music stream or playlist.
It’s the first smart watch designed for running with a ruggedized design and water-resistance that can withstand adverse conditions. When you’re not running, Echo is an everyday watch. A replaceable battery means there’s no charging. Echo is always ready to go.

Real time fitness data stream Fitness data, like pace and distance, stream from your app to Echo in real-time. Now, you can actually see the data that’s been hiding on your smartphone.
Fitness Apps With an open platform, Echo works with your favorite fitness app today and the new fitness apps of tomorrow. Apps are constantly updating their features and Echo is designed to keep pace and evolve.
App Messages and Alerts Apps control the experience on Echo, including the messages it displays. These could be encouraging words from a friend, instructions for your next interval, or notification of an achievement.
Smartphone Compatibility Compatible with iPhone 4S, 5, 5C and 5S. Android Smartphone support coming soon.
Wireless Communication Embedded Bluetooth Smart technology creates a low power connection between your smartphone and watch to stream data and remotely control your apps.
Battery Using ultra low-power components, Echo uses a replaceable coin cell battery. Which means no charging, ever.
Display 1"" (2.54 cm) high resolution display allows for superior readability in varying light conditions -- especially bright light. A backlight may be turned on for darker conditions.
Invertible Screens The screen background and characters can be inversed from black to gray to match your mood or preference.
Remote Controls With your smartphone safely tucked away, you can remotely control app functions like start, stop, and lap, as well as remotely control the music on your smartphone.
Tap Screen Tapping the display will advance to the next data screen or close a notification that is displayed.
Everyday Watch Sleek design and watch functions (time of day, day, and date) make it the perfect watch for a tech savvy athlete.
Water-Resistance With a 30 meters water-resistant rating, it’s rugged design can be worn in heavy rain and the shower.
Rugged Designed with the runner in mind, Echo is sporty and rugged enough to look good while running and to withstand the elements.
Customization Watch configurations are 100% controlled by the fitness app and you. Some apps will allow you to customize every data screen and button controls, while others will keep it simple and control the experience. Choose from digital or analog watch faces to match your style.


Specifications 
Device

Dimensions (English) 1.8” x 1.9” x 0.5”
Dimensions (Metric) 46mm x 49mm x 13mm
Weight (English) 1.5 oz
Weight (Metric) 44g
Battery Type CR2032 Replaceable
Battery Life 6 - 11 months (depending on usage)
Waterproof Device is water resistant, safe for the shower, not suitable for swimming
Temperature Range (F) 14F to 140F
Temperature Range (C) -10C to 60C
Watch Mode Yes



Screen

Display Resolution, WxH 128 x 128
Screen Size 1.0"" diameter
Display Type High Resolution, superior readability in all light conditions
Invertible Screen Yes



Accessories

Includes Heart Rate Monitor - Bluetooth Smart No (optional accesory)



Interface &amp; Communications

Audible Alerts and Notifications Yes
Wireless Communication Bluetooth 4.0 (Smart,low energy)
Fitness App Controls Yes
Music Controls Yes



Compatibility

App Data in Real-time Yes
Mobile App Compatibility Strava, MapMyRun®, Wahoo Fitness, iSmoothRun (more coming soon)
Phone Compatibility iPhone 4S, 5, 5C and 5S, Android coming soon




",Black ;Blue ;Orange ,S$249.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/c/echo_family_metric_high_res.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/c/echo_blue_front_metric_high_res.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/c/echo_orange_side_metric_high_res.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/c/echo_black_side_metric_high_res.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/c/echo_orange_black_face_metric.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/j/p/jp__3733.jpg,,,,,,,
