Merchant1,Merchant3,Merchant2,Merchant4,URL,productname,MerchantSKU4,Price3,Price2,Price1,Price4,MerchantSKU1,MerchantSKU3,MerchantSKU2
Live Your Sport,,,,http://www.junglee.com/Nike-LYSL1541-Strike-PL-Football/dp/B00H7VBXYM,"Nike Strike PL Football

",,,,"1,335",,LYSL1541,,
1800Sports,SportsJam.in,Live Your Sport,,http://www.junglee.com/SKLZ-Football-Goal-EE-Piece-PDQ/dp/B00A0NVYPC,"SKLZ Football Goal-EE (6 Piece PDQ)

",,"2,804","2,738","2,639",,80000525,SZGOLEE00004,LYSL965
Live Your Sport,,,,http://www.junglee.com/Nike-Shoot-Football-Shoes-Size/dp/B00QBYWR3C,"Nike T90 Shoot Iv Football Shoes Size 6

",,,,"4,046",,LYSN9886SSUK 6,,
Amazon.in Marketplace,Live Your Sport,Gofitindia,,http://www.junglee.com/Nivia-Black-White-Football-Size/dp/B009PHPHPW,"Nivia Black And White Football , Size 5

",,526,550,510,,B009PHPHPW-c2j,LYSL1115,29879
Live Your Sport,,,,http://www.junglee.com/Nike-Teimpo-Natural-Football-11/dp/B00QBYX4P2,"Nike Teimpo Natural Iv Football Shoes Size 11

",,,,"2,966",,LYSN9891SSUK 11,,
Live Your Sport,,,,http://www.junglee.com/Nivia-LYSL1276-Radar-Football-Stud/dp/B00H7V4Y0W,"Nivia Radar Football Stud

",,,,900,,LYSL1276,,
Live Your Sport,,,,http://www.junglee.com/Nike-Gk-Grip-Goalkeeper-Gloves/dp/B00QBYXAE2,"Nike Gk Grip 3 Goalkeeper Gloves

",,,,"1,796",,LYSN9893,,
Live Your Sport,,,,http://www.junglee.com/Cosco-Kicker-Football-Shin-Pad/dp/B00H7VBYZ0,"Cosco Kicker Football Shin Pad

",,,,90,,LYSL495_PWA,,
Live Your Sport,,,,http://www.junglee.com/Star-Impact-Indoor-Desire-Football/dp/B00MJ1J694,"Star Impact Indoor Desire Football Studs

",,,,600,,LYSN6218SS UK 7,,
Live Your Sport,,,,http://www.junglee.com/Vector-Chaser-Green-Football-Shoes/dp/B00QBXYYCK,"Vector X Chaser Green Football Shoes 5

",,,,626,,LYSN9499,,
Live Your Sport,,,,http://www.junglee.com/Kaizen-LYSN5601SSUK-5-Football-Yellow/dp/B00MJ081JG,"Kaizen Football Kit (Yellow)

",,,,"1,600",,LYSN5601SS UK 10,,
Live Your Sport,,,,http://www.junglee.com/Harrow-Mamba-Advanced-Field-Hockey/dp/B00L8Y6MM2,"Harrow Mamba Advanced Field Hockey Stick

",,,,"8,800",,LYSN5102,,
Live Your Sport,,,,http://www.junglee.com/Tk-Shinguard-Trh-White-Blue/dp/B00MJ0C45I,"Tk C 2 Shinguard Trh White Blue M

",,,,269,,LYSN5660,,
Live Your Sport,,,,http://www.junglee.com/Rakshak-LYSN4988-2012-Hockey-Stick/dp/B00L8XV674,"Rakshak 2012 Hockey Stick

",,,,"2,519",,LYSN4988,,
Live Your Sport,,,,http://www.junglee.com/Cut-Finger-Gloves-Left-Blue/dp/B00MJ0COBC,"Tk C 2 Cut Finger Gloves Left Blue M

",,,,299,,LYSN5675,,
mySPOGA,,Live Your Sport,,http://www.junglee.com/Sachin-SR1000-Composite-Hockey-Stick/dp/B00FPJ7LX0,"Sachin SR1000,Composite Hockey Stick

",,,"2,429","2,429",,sac-sr-1000-com-hoc-stick-100085,,LYSN5227
mySPOGA,Live Your Sport,mySPOGA,,http://www.junglee.com/Rakshak-LYSN5235-RWX4-OK-HOCKEY-PROMISE/dp/B00FPJ7Q76,"RWX4.OK-HOCKEY PROMISE

",,"1,249","1,249","1,249",,rakrwxprohocstick,LYSN5235,rak-rwx-pro-hoc-stick-100096
Live Your Sport,,,,http://www.junglee.com/Harrow-Dahlia-Field-Hockey-Stick/dp/B00L8Y4NKK,"Harrow Dahlia Field Hockey Stick

",,,,"6,616",,LYSN5075,,
Live Your Sport,,,,http://www.junglee.com/Vijayanti-Comp-Inch-Hockey-Stick/dp/B00H7V648M,"Vijayanti Comp 500 37 Inch Hockey Stick

",,,,"1,960",,LYSL123,,
Live Your Sport,,,,http://www.junglee.com/Slazenger-Ikon-3-Hockey-Stick/dp/B00H2HXDJ4,"Slazenger Ikon 3 Hockey Stick

",,,,637,,LYSM203C,,
Live Your Sport,,,,http://www.junglee.com/Tk-Core-Hokeey-Stick-37/dp/B00MJ0MBVU,"Tk Core C 2 Hokeey Stick 37""

",,,,"4,799",,LYSN5720,,
Live Your Sport,,,,http://www.junglee.com/Tk-C-6-Hockey-Stick/dp/B00L8XV3OU,"Tk C 6 Hockey Stick

",,,,"1,619",,LYSN4987,,
Live Your Sport,,,,http://www.junglee.com/Tk-Core-Hockey-Stick-37/dp/B00MJ0LU7G,"Tk Core C 4 Hockey Stick 37""M

",,,,"2,889",,LYSN5713,,
Live Your Sport,,,,http://www.junglee.com/Alfa-Two-Stick-Bag-Hockey/dp/B00H2HXAU6,"Alfa Two Stick Bag Hockey Kit Bag

",,,,380,,LYSN3803,,
Live Your Sport,,,,http://www.junglee.com/Nike-Exacto-Football-Shoes-10/dp/B00QBYW6ZQ,"Nike T90 Exacto Iv Football Shoes Size 10

",,,,"3,146",,LYSN9880SSUK 10,,
Live Your Sport,,,,http://www.junglee.com/Vector-Black-Yellow-Football-Stud/dp/B00QC1CFMM,"Vector X New Black Yellow Football Stud Size 8

",,,,725,,LYSN14376,,
Live Your Sport,,,,http://www.junglee.com/Adidas-Football-Brazuca-Replica-Captino/dp/B00QBYM4EY,"Adidas Football Brazuca Match Replica Captino White/Black/Poppy

",,,,"1,529",,LYSN8776,,
Live Your Sport,,,,http://www.junglee.com/Nike-Exacto-Football-Shoes-11/dp/B00QBYWA8Y,"Nike T90 Exacto Iv Football Shoes Size 11

",,,,"3,146",,LYSN9881SSUK 11,,
Live Your Sport,,,,http://www.junglee.com/Nivia-LYSL1256-Ultra-Football-Stud/dp/B00H7V5HMG,"Nivia Ultra Football Stud

",,,,899,,LYSL1256,,
Amazon.in Marketplace,Live Your Sport,isupersport,,http://www.junglee.com/Nivia-Vertigo-Football-Size-White/dp/B00IAPJYGS,"Nivia Vertigo Football, Size 5 (White/Blue)

",,"1,393","1,999","1,299",,B00IAPJYGS-c2j,LYSL1105,FS1646
Live Your Sport,,,,http://www.junglee.com/Adidas-Predito-Lz-Football-Shoes/dp/B00QBY82J0,"Adidas Predito Lz In Football Shoes

",,,,"4,299",,LYSN7060SSUK 8,,
