SKU,Description,SP,MRP,productname,productname,Size,imgurl,Stock
235109-83022500,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Gilbert Pro range combines a quality cross weave polyester doby fabric with 1680 D polyester for a high spec, premium range in luggage.</p>

<p>This suit carrier is a functional, stylish and effective way of transporting garments. There is a large main compartment, with a full length zipper, for suits or jackets, while there are two additional pockets on the outside for any extra storage that is needed.</p>

<p>There is also a built in hanger system, and when it comes to carrying it is a choice between the padded carry handle or shoulder strap.</p><p>Material</p><ul><li>Nylon </li><li>PVC </li><li>600D Polyester </li><li>Polyester Doby </li></ul>						</div>",39.99,5499,GILBERT Pro Suit Carrier,GILBERT,,"http://products.activinstinct.com/y2011/m07/235109/54849223-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
28998-85360605,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Gilbert contact suit has been specifically designed for tackling practice as a way of providing total body protection.</p>

<p>The reversible design allows easily structured training sessions and has been constructed from durable nylon so it will take some real wear and tear.</p><p>Material</p><ul><li>Nylon </li><li>EVA </li><li>Polyester Webbing </li></ul>						</div>",44.99,5999,GILBERT Senior Contact Suit,GILBERT,,"http://products.activinstinct.com/y2009/m06/28998/28998-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
28997-85360603,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Gilbert contact suit has been specifically designed for tackling practice as a way of providing total body protection.</p>

<p>The reversible design allows easily structured training sessions and has been constructed from durable nylon so it will take some real wear and tear.</p><p>Material</p><ul><li>Nylon </li><li>EVA </li><li>Polyester Webbing </li></ul>						</div>",44.99,5999,GILBERT Junior Contact Suit,GILBERT,,"http://products.activinstinct.com/y2009/m06/28997/28997-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
235229-89111903,"<div class=""more"" id=""hp_fix_desc"">
							<p>Made with foam on the inside and coated in PVC, this wedge is for children at school and junior level players to use to improve their tackling technique.</p>

<p>The curved wedge helps develop clearing out skills once contact has been made and provides young players with a solid basis for their defensive game; vital for creating successful teams.</p>						</div>",49.99,6499,GILBERT Curved Wedge,GILBERT,,"http://products.activinstinct.com/y2011/m07/235229/25534743-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
29001-85360805,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Gilbert contact top has been designed with the assistance of premiership clubs who know what is needed when it comes to intense training sessions and getting the best out of player.</p>

<p>The top provides all round upper body protection without restricting your movement so you can hit hard and feel protected during a training session.</p><p>Material</p><ul><li>Nylon </li><li>EVA </li><li>Polyester Webbing </li></ul>						</div>",49.99,6499,GILBERT Senior Contact Top,GILBERT,,"http://products.activinstinct.com/y2009/m06/29001/29001-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
21251-89111852,,49.99,6499,GILBERT Training Equipment Wedge (Junior),GILBERT,,"http://products.activinstinct.com/y2008/m12/21251/28004141-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12209-41024505,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Gilbert Revolution X is a solid performer around the pitch with a patented TruFlight Valve providing excellent aerodynamics, balance and truer flight for players who love to dictate the game with tactical kicking. Having been pre kicked by kicking machines to remove residual stress, this ball is match ready.</p>

<ul>
<li>Patented Truflight bladder.</li>
<li>High grade rubber surface.</li>
<li>Responsive synthetic laminate construction.</li>
<li>Hand stitched.</li>
<li>Pre kicked.</li>
<li>Available in size 5.</li></ul><br>						</div>",49.99,6499,GILBERT Revolution X Rugby Ball ,GILBERT,,"http://products.activinstinct.com/y2008/m12/12209/77520546-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
21113-89111755,,59.99,7499,GILBERT Rugby Wideboy Wedge ,GILBERT,,"http://products.activinstinct.com/y2008/m12/21113/21113-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
21252-89111850,,59.99,7499,GILBERT Training Equipment Wedge (Senior),GILBERT,,"http://products.activinstinct.com/y2008/m12/21252/79956981-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
21255-89111861,"<div class=""more"" id=""hp_fix_desc"">
							<p>Designed to assist with attacking training drills. The unique forward facing arm design provides resistance when contact is made to simulate breaking a tackle. Ideally used in sets of 3 or 4, the colour coded 'arms' highlight defensive weak points and encourage players to run at gaps.</p>						</div>",69.99,8499,GILBERT Armed Wedge ,GILBERT,,"http://products.activinstinct.com/y2008/m12/21255/21255-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
234552-873747,"<div class=""more"" id=""hp_fix_desc"">
							<p>More suited to players in the pack and powerful ball winners, the Barbarian Pro is designed to meet the requirements of the best players in the game. It is a classic boot that scores highly on quality and performance.</p>

<p>The XSP 8 Stud Outsole is designed for the soft ground; when traction and grip are at a premium these boots find that extra bit of footing needed to hold your line and launch from. The Pebax outsole includes an internal support unit, while strategically positioned studs allow for greater weight distribution.</p>

<p>The rigid Midfoot has a PU lasting and gives flexibility and support to the boot, while a new contoured last and thermoplastic moulded heel ensure the best possible fit. The upper has been made from full grain leather to give a soft feel and comfort, as well as being lightweight enough to perform at the highest level. The footbed has been anatomically moulded with a Poron heel to provide cushioning and shock absorption upon impact.</p>

<p>A brilliant boot for the grafters in the pack to build the platform for success.</p><p>Material</p><ul><li>Leather </li><li>TPU </li><li>Aluminium </li></ul>						</div>",71.99,8699,GILBERT Men's Barbarian Pro Rugby Boots,GILBERT,,"http://products.activinstinct.com/y2011/m07/234552/99597601-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
235251-41014805,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Virtuo is Gilbert's most advanced match ball to date. It features a new Copolymer ""air-loc"" bladder to maintain the correct inflation pressure for longer, and an ellipsed shape valve to assist in rotation both when passed and kicked.</p>

<p>Made with a reaction laminate construction, the hand stitched ball also features Multi Matrix 3D grip, a performance rubber surface. The Virtuo is recognised as one of the best performing balls available and is the official match ball of England, France, Ireland, Scotland, South Africa, USA, Argentina and Australia...it should be yours too.</p>						</div>",89.99,10499,GILBERT Virtuo Match Rugby Ball Ireland,GILBERT,,"http://products.activinstinct.com/y2011/m07/235251/49145807-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
235249-41014705,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Virtuo is Gilbert's most advanced match ball to date. It features a new Copolymer ""air-loc"" bladder to maintain the correct inflation pressure for longer, and an ellipsed shape valve to assist in rotation both when passed and kicked.</p>

<p>Made with a reaction laminate construction, the hand stitched ball also features Multi Matrix 3D grip, a performance rubber surface. The Virtuo is recognised as one of the best performing balls available and is the official match ball of England, France, Ireland, Scotland, South Africa, USA, Argentina and Australia...it should be yours too.</p>						</div>",89.99,10499,GILBERT Virtuo Match Rugby Ball England,GILBERT,,"http://products.activinstinct.com/y2011/m07/235249/75193582-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
235253-41014905,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Virtuo is Gilbert's most advanced match ball to date. It features a new Copolymer ""air-loc"" bladder to maintain the correct inflation pressure for longer, and an ellipsed shape valve to assist in rotation both when passed and kicked.</p>

<p>Made with a reaction laminate construction, the hand stitched ball also features Multi Matrix 3D grip, a performance rubber surface. The Virtuo is recognised as one of the best performing balls available and is the official match ball of England, France, Ireland, Scotland, South Africa, USA, Argentina and Australia...it should be yours too.</p>						</div>",89.99,10499,GILBERT Virtuo Match Rugby Ball Scotland,GILBERT,,"http://products.activinstinct.com/y2011/m07/235253/93375866-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
235245-41014605,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Virtuo is Gilbert's most advanced match ball to date. It features a new Copolymer ""air-loc"" bladder to maintain the correct inflation pressure for longer, and an ellipsed shape valve to assist in rotation both when passed and kicked.</p>

<p>Made with a reaction laminate construction, the hand stitched ball also features Multi Matrix 3D grip, a performance rubber surface. The Virtuo is recognised as one of the best performing balls available and is the official match ball of England, France, Ireland, Scotland, South Africa, USA, Argentina and Australia...it should be yours too.</p>						</div>",89.99,10499,GILBERT Virtuo Match Rugby Ball,GILBERT,,"http://products.activinstinct.com/y2011/m07/235245/69380310-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
21132-89969603,"<div class=""more"" id=""hp_fix_desc"">
							<p>This set of 12 posts come complete with its own bag so that it is easy to store and transport. The function of these posts is to provide rugby teams to harness their agility skills through any number of drills.</p>

<p>The poles are made from PVC and have flexi foot spikes to stand firm in the ground. Linking the pole to the spike is a flexi foot so that contact with the pole allows it to move and flex rather than simply provide a collision or be knocked out of the ground as you dart and weave in between.</p>

<ul>
<li>Flexi Posts for improved body shape and movement.</li>
<li>Develops sidestep and evasion skills.</li>
<li>PVC poles with strengthened steel foot spike for easy insertion.</li>
</ul><br>
<p>Sold in bags of 12.</p>						</div>",99.99,11499,GILBERT RST Pole (Set of 12),GILBERT,,"http://products.activinstinct.com/y2008/m12/21132/21132-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
235078-83022300,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Gilbert Pro range combines a quality cross weave polyester doby fabric with 1680 D polyester for a high spec, premium range in luggage.</p>

<p>This particular holdall is made to carry all your kit. The large, main body of the holdall has been split into two sections. There are internal mesh compartments, two front zip pockets and smooth wheels to make transport as easy and hassle-free as possible. There is also a telescopic handle and double carry handle to choose between on the top of the case depending on what you're carrying and where you are.</p>

<ul>
<li>77 x 38 x 35 cm</li></ul><br><p>Material</p><ul><li>Nylon </li><li>PVC </li><li>600D Polyester </li><li>Polyester Doby </li></ul>						</div>",99.99,11499,GILBERT Pro Travel Holdall,GILBERT,,"http://products.activinstinct.com/y2011/m07/235078/83099908-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
21116-89111652,,129.99,14499,GILBERT Training Equipment Tackle Bags (Junior),GILBERT,,"http://products.activinstinct.com/y2008/m12/21116/21699766-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
21115-89111651,,149.99,16499,GILBERT Training Equipment Tackle Bags (Intermediate),GILBERT,,"http://products.activinstinct.com/y2008/m12/21115/86148195-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
21114-89111650,,189.99,20499,GILBERT Training Equipment Tackle Bags (Senior),GILBERT,,"http://products.activinstinct.com/y2008/m12/21114/51626118-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
21260-28288S,,279.99,29499,GILBERT Junior Set of 4 Post Protectors (Diameter C) ,GILBERT,,"http://products.activinstinct.com/y2008/m12/21260/21260-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
21262-28291S,,449.99,46499,GILBERT Senior Set of 4 Post Protectors (Diameter C) ,GILBERT,,"http://products.activinstinct.com/y2008/m12/21262/21262-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
17270-RUG-036,,239.99,25499,HARROD Padding for 6m Steel Rugby Posts - Half Set ,HARROD,,"http://products.activinstinct.com/y2008/m12/17270/17270-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
17269-RUG-036,,449,46400,HARROD Padding for 6m Steel Rugby Posts - Full Set ,HARROD,,"http://products.activinstinct.com/y2008/m12/17269/17269-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12607-RUG-008,"<div class=""more"" id=""hp_fix_desc"">
							<ul>
<li>Manufactured from steel tube and polyester powder coated white</li>
<li>Uprights 7m long, 63. 5mm diameter x 2mm thick</li>
<li>Crossbar 5. 6m long, 63. 5mm diameter x 2mm thick</li>
<li>All posts are complete with 910mm sockets with stabilising fins and base plates</li>
<li>Complete with hinged adaptors and high tensile steel bolts which make erection of the posts safer</li>
<li>Stainless steel fasteners</li>
<li>Top uprights are fitted with caps</li>
<li>Delivery may take approimately 14 working days.</li>
<li>Padding not included.</li>
</ul><br>
<p>Weight: 169kg per set</p>

<p>General Delivery Instructions:</p>
<ul>
<li>All deliveries are to UK Mainland Only.</li>
<li>Deliveries to Northern Ireland, Channel Islands, other British Islands and Scottish Highlands will incur additional charges.</li>
<li>Please call 08452 702 011 for carriage quotes</li></ul><br>						</div>",549,56400,HARROD 6m Steel Rugby Posts (Half Set),HARROD,,"http://products.activinstinct.com/y2008/m12/12607/12607-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12606-RUG-008,"<div class=""more"" id=""hp_fix_desc"">
							<ul>
<li>Manufactured from steel tube and polyester powder coated white</li>
<li>Uprights 7m long, 63. 5mm diameter x 2mm thick</li>
<li>Crossbar 5. 6m long, 63. 5mm diameter x 2mm thick</li>
<li>All posts are complete with 910mm sockets with stabilising fins and base plates</li>
<li>Complete with hinged adaptors and high tensile steel bolts which make erection of the posts safer</li>
<li>Stainless steel fasteners</li>
<li>Top uprights are fitted with caps</li>
<li>Delivery may take approimately 14 working days.</li>
<li>Padding not inlcuded.</li>
</ul><br>
<p>Weight: 169kg per set</p>

<p>General Delivery Instructions:</p>
<ul>
<li>All deliveries are to UK Mainland Only.</li>
<li>Deliveries to Northern Ireland, Channel Islands, other British Islands and Scottish Highlands will incur additional charges.</li>
<li>Please call 08452 702 011 for carriage quotes</li></ul><br>						</div>",999.99,101499,HARROD 6m Steel Rugby Posts (Full Set),HARROD,,"http://products.activinstinct.com/y2008/m12/12606/12606-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
289347--,"<div class=""more"" id=""hp_fix_desc"">
							<p>ZERO is the new sugar free electrolyte drink from High5. The drink is virtually calorie free (Energy 0.23Kcal per 100ml when mixed 1 tablet per 750ml) and has a light refreshing taste.</p>

<p>ZERO is naturally free from preservatives, allergens, artificial colours and flavours. Scientific research at the Faculty of Biomedical and Life Sciences, University of Glasgow found that simply drinking ZERO instead of a normal carbohydrate sport drink participants burned on average 41% more fat during exercise.</p>

<p>This is an incredibly easy product to use, drop a tablet in your bottle and it quickly dissolves in water to give you a delicious, refreshing, advanced electrolyte drink with added magnesium. The small recyclable tube contains 20 tablets and makes 15 litres of drink in your own reusable sports bottle, which means optimal hydration while being environmentally friendly also.</p>

<p>As cramp can happen as a result of dehydration, electrolyte deficits, and muscle fatigue, ZERO can be an essential part of your anti cramp strategy as it contains key electrolytes; sodium, potassium, magnesium and calcium. ZERO is perfect for anyone who wants to stay active and hydrated, whether it being running, triathlon, team sports or whatever takes your fancy.</p>

<p>Nutritional Information typical values per 100g/per 4g Tablet:</p>
<p>Energy 175kJ, 42kcal / [7kJ, 1.7 kcal], Protein 0g [0g], Carbohydrate 2g [0g] of which sugars 0g [0g], Fat 0g [0g], Fiber 0g [0g], Sodium 6.5g [0.26g], Magnesium 800mg [32mg].</p><p>Material</p><ul><li>Magnesium </li><li>Sodium </li></ul>						</div>",49.99,6499,HIGH5 Zero Active Hydration Drink Tabs - 8 x 20 Tablet Tube (1 Box),HIGH5,"Cherry Orange,Citrus,Pink Grapefruit,Berry","http://products.activinstinct.com/y2012/m05/289347/46083683-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
289356--,"<div class=""more"" id=""hp_fix_desc"">
							<p>ZERO is the new sugar free electrolyte drink from High5. The drink is virtually calorie free (Energy 0.23Kcal per 100ml when mixed 1 tablet per 750ml) and has a light refreshing taste.</p>

<p>This extreme version has the added boost of caffeine, it is a great way to get hydrated and give you a boost before a session when you are tired and don't feel up to it.</p>

<p>ZERO is naturally free from preservatives, allergens, artificial colours and flavours. Scientific research at the Faculty of Biomedical and Life Sciences, University of Glasgow found that simply drinking ZERO instead of a normal carbohydrate sport drink participants burned on average 41% more fat during exercise.</p>

<p>This is an incredibly easy product to use, drop a tablet in your bottle and it quickly dissolves in water to give you a delicious, refreshing, advanced electrolyte drink with added magnesium. The small recyclable tube contains 20 tablets and makes 15 litres of drink in your own reusable sports bottle, which means optimal hydration while being environmentally friendly also.</p>

<p>As cramp can happen as a result of dehydration, electrolyte deficits, and muscle fatigue, ZERO can be an essential part of your anti cramp strategy as it contains key electrolytes; sodium, potassium, magnesium and calcium. ZERO is perfect for anyone who wants to stay active and hydrated, whether it being running, triathlon, team sports or whatever takes your fancy.</p>

<p>Nutritional Information typical values per 100g/per 4g Tablet:</p>
<p>Energy 175kJ, 42kcal / [7kJ, 1.7 kcal], Protein 0g [0g], Carbohydrate 2g [0g] of which sugars 0g [0g], Fat 0g [0g], Fibre 0g [0g], Sodium 6.5g [0.26g], Magnesium 800mg [32mg].</p><p>Material</p><ul><li>Caffeine </li><li>Magnesium </li><li>Sodium </li></ul>						</div>",49.99,6499,HIGH5 Zero Extreme Stimulant and Caffeine Drink Tabs - 8 x 20 Tablet Tube (1 Box),HIGH5,"Pink Grapefruit,Berry","http://products.activinstinct.com/y2012/m05/289356/53749129-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
357725--,"<div class=""more"" id=""hp_fix_desc"">
							<p>ZERO Neutral electrolyte tabs let you take control of your sports drink. With no flavour or sweetness, simply drop a tab into water, Supermarket cordial or diluted juice to create a low calorie sports drink of your own design with a wide variety of favourite flavours. Zero Neutral tabs can also be used to increase the electrolyte content of an existing sports drink, which is especially useful when the conditions are hot and sweaty. ZERO Neutral contains Vitamin C and 5 electrolytes, including sodium, magnesium and potassium.</p>

<p>Vitamin C in ZERO Neutral supports a healthy immune system, protects the cells from oxidative stress and contributes to the reduction of tiredness and fatigue. Magnesium in ZERO Neutral contributes to electrolyte balance, reduces tiredness and fatigue, whilst supporting muscle protein synthesis.</p>

<p>The 20 tab tube can be added to 15 litres of drink, so it's great value for money. With minimal packaging, Zero is environmentally friendly and easy to keep with you.</p>

<p>This has a neutral flavour.</p>

<p>Nutritional Information (Per 100g / Per 4g tablet):</p>
<ul>
<li>Energy: 175Kj / 42Kcal / 7Kj / 1.7kcal</li>
<li>Protein: 0g / 0g</li>
<li>Carbohydate: 2g / 0g</li>
<li>of which sugars: 0g / 0g</li>
<li>Fat: 0g / 0g</li>
<li>Fibre: 0g / 0g</li>
<li>Sodium: 6.5g / 0.25g</li>
<li>Magnesium: 800mg / 32mg</li></ul><br><p>Material</p><ul><li>Maltodextrin </li><li>Sodium Chloride </li><li>Ascorbic Acid </li><li>Magnesium Carbonate </li><li>Carbohydrate </li><li>Magnesium </li><li>Sodium </li><li>Calcium Carbonate </li><li>Tri Sodium Citrate </li><li>Potassium Citrate </li><li>Sodium Bicarbonate </li></ul>						</div>",40.99,5599,HIGH5 Zero Neutral 8 x 20 Tablet Tube (1 Box),HIGH5,,"http://products.activinstinct.com/y2013/m05/357725/13553628-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
258044--,"<div class=""more"" id=""hp_fix_desc"">
							<p>Using the same patented unique rigid air technology as IGOAL the newly launched ILITE offers easy to use portable floodlighting. With no need for any bulky or heavy wiring or generators, this can be simply carried in its bag to where you need it thanks to its lightweight nature. You can even use the hand held lighting house as a torch to guide your way.</p>

<p>The IP66 protected LED unit is designed for greater durability and reliability, giving more light coverage than a 300W halogen floodlight, while working off re-chargeable low 12 volt system that gives over 3 hours use from the fully charged battery. Four, preferably six units, will be more than enough to illuminate a 60m x 40m mini football pitch, or pitches of a similar size. Whether it be for football, rugby, hockey or netball, add some vision to your game.</p>

<ul>
<li>Suitable for use by emergency services, construction industry and sports sector</li>
<li>LEDs are also environmentally friendly and non-toxic.</li>
</ul><br>
<ul>
<li>Light Engine: OSRAM HPML AD (LED)</li>
<li>Typical lumens: 2,400lm (stable lumen output under the operation of a re-chargeable battery)</li>
<li>Power: 40W</li>
<li>CCT: 6500K</li>
<li>Long Lifetime: &gt;20,000 hours</li>
<li>IP Rating: IP66 (self-contained housing and heat sink; no extra protection required)</li>
</ul><br>
<ul>
<li>Total Weight: 12 kgs</li>
<li>Height Floor to top of light: 3.5 metres</li>
<li>Lightweight Housing Unit: Aluminium Heat Sink and Polycarbonate (PC) cover</li>
<li>Battery: 12v D/C 14 a/h dry lead acid</li>
</ul><br>
<p>Pack Includes:</p>
<ul>
<li>1 x HPMLAD Ilite module</li>
<li>1 x Inflatable stanchion</li>
<li>1 x ILITE Carry Bag</li>
<li>1 x HPML AD Ilite module Protector Cover (Inflated Pocket)</li>
<li>1 x Pump and pump hose</li>
<li>1 x Battery Cable</li>
<li>1 x 14ah 12V Lead Acid Sealed Battery</li>
<li>1 x Battery Charger</li>
<li>1 x Universal Plug</li>
<li>1 x Battery Bag</li>
<li>3 x Ground Pegs</li>
<li>1 Set Guide Lines and Ground Pegs</li>
<li>3 x Sand Bags</li></ul><br>						</div>",399.99,41499,ILITE Inflatable Floodlight,ILITE,,"http://products.activinstinct.com/y2011/m11/258044/45831658-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
379752-58091806,"<div class=""more"" id=""hp_fix_desc"">
							<p>This away shirt that pays homage to the classic Scotland rugby jerseys of the past with a design that fuses modern fabrics with classic understated design.</p>

<p>The jersey is white with bright blue on the shoulders, sleeves and collar, featuring the traditional thistle design that featured on the 1990 Grand Slam winning jersey subtly embossed on the front. Features embroidered macron logo on the right chest, embroidered Scotland Rugby crest on the left chest and the sponsor logo to the middle of the chest.</p>

<p>This polyester replica is perfect for match play.</p><p>Material</p><ul><li>Polyester Fabric </li></ul>						</div>",53.99,6899,MACRON Scotland 2013/2014 Away Men's Replica SS Rugby Jersey,MACRON,,"http://products.activinstinct.com/y2013/m09/379752/29973596-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
380529-58091802,"<div class=""more"" id=""hp_fix_desc"">
							<p>This away shirt that pays homage to the classic Scotland rugby jerseys of the past with a design that fuses modern fabrics with classic understated design. The Pro Shirt Body Fit is what the players will be wearing making this jersey ideal for training and supporting alike.</p>

<p>The jersey is white with bright blue on the shoulders, sleeves and collar. Features embroidered macron logo on the right chest, embroidered Scotland Rugby crest on the left chest and the sponsor logo to the middle of the chest.</p>

<p>Purple stripes on the side give a hint of a modern look whilst the Pro Shirt Body Fit construction ensures a fitted form.</p>

<p>This polyester replica is perfect for match play.</p>

<p>Please Note: Size labels in Macron garments reflect US sizes so will not correspond to size ordered</p><p>Material</p><ul><li>Polyester Fabric 100%</li></ul>						</div>",71.99,8699,MACRON Scotland 2013/2014 Away Men's Replica Pro Body Fit Rugby Jersey,MACRON,,"http://products.activinstinct.com/y2013/m09/380529/75429994-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
275775-3333,"<div class=""more"" id=""hp_fix_desc"">
							<p>A knee brace that features a sectional design and adjustable straps to provide controlled compression. The triaxial hinge properly tracks the knee joint providing near-normal motion. Patella buttress stabilizes and helps protect the kneecap and this is all incorporated into a comfortable open-back design.</p><p>Material</p><ul><li>Steel </li><li>Breathable Elastic </li><li>Neoprene Blend Textile </li></ul>						</div>",49.99,6499,MUELLER Wraparound Hinged Knee Brace,MUELLER,"Regular,L,XL","http://products.activinstinct.com/y2012/m02/275775/37714034-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
275862-252,"<div class=""more"" id=""hp_fix_desc"">
							<p>Designed to help prevent back injuries during lifting and strenuous activity, this support features adjustable suspenders to allow for comfortable all day wear, with easy access to support when needed. This versatile and lightweight support is easy to apply and remove.</p>

<p>The flexible stays make for support of lower back and the breathable mesh fabric with elastic tension bands allows for firm adjustable tension. The quick and easy to use closures make this support fully adjustable for all day comfort. The adjustable suspenders can also be removed from support if desired.</p><p>Material</p><ul><li>Steel </li><li>Breathable Elastic </li><li>Neoprene Blend Textile </li></ul>						</div>",39.99,5499,MUELLER Back Support with Braces,MUELLER,,"http://products.activinstinct.com/y2012/m02/275862/85192036-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
25069-255,"<div class=""more"" id=""hp_fix_desc"">
							<p>This premium back brace helps relieve lower back pain from strains, sprains and muscle spasms. Double layer design allows for custom fit and adjustable compression to abdomen and lower back.</p>

<p>Helps provide relief from injuries and strenuous activity to keep you active. Breathable fabric for comfortable all-day wear. The removable lumbar pad cushions and compresses the lower back for concentrated support. Extra stability is provided from flexible steel supports along the spine.</p>

<p>The internal moulded plastic component eliminates brace rolling or bunching, and it is Custom fit with dual, outer elastic tension straps. Black - Fits waist sizes 28"""" - 50"""" (71cm - 127 cm).</p><p>Material</p><ul><li>Neoprene Blend Textile </li></ul>						</div>",47.99,6299,MUELLER Lumbar Back Brace With Removable Pad ,MUELLER,,"http://products.activinstinct.com/y2008/m12/25069/25069-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
29504-PULH,"<div class=""more"" id=""hp_fix_desc"">
							<p>The pulse range of protection is based around the OPT-HEX design of EVA which makes the Pulse Headguard one of the most advanced on the market. The OPT-HEX protection absorbs the impact of big hits, spreading the shock out across a wider surface area. Hit the contact area with zest and enjoy your games in the comfort and protection afforded by this headguard. Features 10mm OPT-HEX for total protection.</p><p>Material</p><ul><li>Rubber 20%</li><li>EVA 20%</li><li>Polymide 35%</li><li>Polyester Foam 25%</li></ul>						</div>",39.99,5499,OPTIMUM Adult Pulse Headguard,OPTIMUM,"S,L,Black/Blue,Black/Gold","http://products.activinstinct.com/y2009/m08/29504/27682706-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
20566-MAT002,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Matrix range is yet another revolutionary form of increased protection in an ever increasing high impact sport. The ultimate protection for action. The Matrix body protection incorporates leading edge moulding technology combined with micro-light componenets giving the most lightweight and confortable fit.</p>

<p>The new Matrix protective top incorporates breathable mesh lycra with precision moulded pads, creating an unparalled rugby protective garment.</p><p>Material</p><ul><li>Elastic Yarn 20%</li><li>Polymide Padding 80%</li></ul>						</div>",42.99,5799,OPTIMUM Matrix Rugby Union Adults Body Protection Padded Top ,OPTIMUM,,"http://products.activinstinct.com/y2008/m12/20566/44024571-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
411679-BVNJ01,"<div class=""more"" id=""hp_fix_desc"">
							<p>Orca's generation S-series speedsuit continues its evolution with the S5. While retaining many of the great features of the S4, the new S5 introduces a 5mm thick panel of neoprene from neck to mid-leg, increasing flexibility and buoyancy, making it the most buoyant entry level wetsuit on the market. Like its predecessor, the S5 promises hydrodynamics, flexibility, buoyancy and durability. 2mm Yamamoto 39-cell coated neoprene underarm and shoulder panels provide a superb range of motion. The back is made of 3mm Smooth Skin neoprene, offering buoyancy and thermal protection. Silicone-print Hydrostroke forearm catch panels increase power through the stroke, while Speed Transition calf panels make transitions faster still.</p>

<p>Features of the Orca S5 Wetsuit</p>

<p>EXCELLENT BUOYANCY</p>
<p>Supports you in your first open water experience with a 5mm neoprene panel from neck to knee. Market leading buoyancy at an entry level price</p>

<p>GREAT FLEXIBILITY</p>
<p>2mm SCS neoprene in arms and shoulders â"" high stretch SCS coated upper arms and torso</p>

<p>YAMAMOTO NEOPRENE</p>
<p>Performance-level durable Yamamoto neoprene provides excellent buoyancy, flexibility and thermal protection</p>

<p>SPEED TRANSITION CALF PANELS</p>
<p>Guaranteed easy removal of the wetsuit and faster transition times</p><p>Material</p><ul><li>Neoprene Blend Textile </li></ul>						</div>",149.99,16499,ORCA S5 Men's Full Sleeve Wetsuit,ORCA,"4,5,6,MT,7,8,9,10,11","http://products.activinstinct.com/y2014/m02/411679/34968454-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
