Item Type,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order, Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image Sort - 2,Product Image Sort - 3,Product Image Sort - 4,Product Image Sort-5,Product Image Sort-6,Product Image Sort-7,Product Image File - 1,Product Image File - 2,Product Image File - 3,Product Image File - 4,Product Image File - 5 ,Product Image File - 6,Product Image File - 7, 
Product,Burn Recumbent Bike BF-7318WD,Burn Fitness,63900.00,63900.00,,<div class="std">        <p><span>Key Features:</span></p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"><span>1.       </span><span>Fashion roadster shape design; smooth and novel; going by somatology.</span></p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"><span>2.       </span><span>Human design; with 10 programs.</span></p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"><span>3.       </span><span>Adopt ECB motor adjustment system; adjust the resistance at any time and keep you safety.</span></p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"><span>4.       </span><span>Blue light intelligent big window display workout program ect.; which can help you choose the suitable exercise way .</span></p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"><span>5.       </span><span>Handhold heart rate test sensor; make sure you can control your heart rate by adjusting your exercise intension.</span></p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"><span>6.       </span><span>Front moving wheel setting; it can be easily moved from one place to other places.</span></p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"><span>7.       </span><span>External power supply; more energy-saving and environment friendly.</span></p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"> </p><p>Covers an area of space：1700 X 600 X 1100 MM</p><p style="margin-left: 18.0pt; text-indent: -18.0pt;">Gross weight：65 KGS</p><p style="margin-left: 18.0pt; text-indent: -18.0pt;">Net weight：61 KGS</p>    </div>,BURNSFBF7318WD,BURNSF,gym-equipments,Burn Recumbent Bike BF-7318WD,8-13 Working Days,100,N,-190,Get your hands on the Burn Recumbent Bike BF-7318WD. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Burn Recumbent Bike BF-7318WD Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Burn Recumbent Bike BF-7318WD Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf7318wd.jpg,
Product,Wt.Assist Chin Dip Combo,Burn Fitness,189900.00,189900.00,,<div class="std">        <p>-L X W X H:1466 X 1245 X 2140 (mm)<br>                           58 X 49 X 84 (in)</p><p>-N.W.:110kgs</p>    </div>,BURNSFBF8120,BURNSF,gym-equipments,Wt.Assist Chin Dip Combo,8-13 Working Days,100,N,-190,Get your hands on the Wt.Assist Chin Dip Combo. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Wt.Assist Chin Dip Combo Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Wt.Assist Chin Dip Combo Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf8120.jpg,
Product,Pec Fly Rear Delta,Burn Fitness,179900.00,179900.00,,<div class="std">        <p>-L X W X H:1310 X 1450 X 1810 (mm)<br>                          52 X 57 X 71 (in)</p><p>-N.W.:101kgs</p><p>-40': 81 sets</p>    </div>,BURNSFBF8122,BURNSF,gym-equipments,Pec Fly Rear Delta,8-13 Working Days,100,N,-190,Get your hands on the Pec Fly Rear Delta. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Pec Fly Rear Delta Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Pec Fly Rear Delta Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf8122.jpg,
Product,Seated Leg Curl,Burn Fitness,175900.00,175900.00,,<div class="std">        <p>-L X W X H:1436 X 1170 X 1400 (mm)<br>                            57 X 46 X 55 (in)</p><p>-N.W.:102 kgs</p><p>-40': 69 sets</p>    </div>,BURNSFBF8106,BURNSF,gym-equipments,Seated Leg Curl,8-13 Working Days,100,N,-190,Get your hands on the Seated Leg Curl. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Seated Leg Curl Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Seated Leg Curl Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf8106.jpg,
Product,Leg Extension,Burn Fitness,165900.00,165900.00,,<div class="std">        <p>-L X W X H:1192 X 1167 X 1400 (mm)<br>                           47 X 46 X 55 (in)</p><p>-N.W.: 99 kgs</p><p>-40': 69sets</p>    </div>,BURNSFBF8105,BURNSF,gym-equipments,Leg Extension,8-13 Working Days,100,N,-190,Get your hands on the Leg Extension. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Leg Extension Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Leg Extension Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf8105.jpg,
Product,Arm Curl,Burn Fitness,156900.00,156900.00,,<div class="std">        <p>-L X W X H:1118 X 896 X 1400 (mm)<br>                          44 X 35 X 55 (in)</p><p>-N.W.: 75kg</p>    </div>,BURNSFBF8103,BURNSF,gym-equipments,Arm Curl,8-13 Working Days,100,N,-190,Get your hands on the Arm Curl. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Arm Curl Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Arm Curl Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf8103.jpg,
Product,Revolving Curl Bar,Burn Fitness,1965.00,1965.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Biomechanically designed for the most complete arm development possible. Comfortable knurl-textured rubber grips allow close-grip or wide-grip curls and triceps press downs with flawless control and balance. Angles on this bar were designed specifically for peak bicep and triceps contraction.</span></li></ul></div></div>    </div>,BURNSFBFA2289,BURNSF,gym-equipments,Revolving Curl Bar,8-13 Working Days,100,N,-190,Get your hands on the Revolving Curl Bar. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Revolving Curl Bar Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Revolving Curl Bar Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/r/o/rod-02.jpg,
Product,Multi Purpose Bar,Burn Fitness,1860.00,1860.00,,<div class="std">        <p><span class="a-list-item">There is nothing better for doing seated rows; triceps press downs and bicep curls. Super deep chest clearance allows you to hit every muscle fiber in your lats. Includes state-of-the-art; knurl-textured rubber grips for an extremely comfortable workout.</span></p>    </div>,BURNSFBFA2283,BURNSF,gym-equipments,Multi Purpose Bar,8-13 Working Days,100,N,-190,Get your hands on the Multi Purpose Bar. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Multi Purpose Bar Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Multi Purpose Bar Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2283.jpg,
Product,PS303 E Commercial Spin Bike,Burn Fitness,94900.00,94900.00,,<div class="std">        <table style="width: 712px;" border="1"><tbody><tr><td colspan="2"><p><span style="text-decoration: underline; font-size: medium;"><b>PS303 COMMERCIAL CYCLE</b></span></p></td></tr><tr><td><p><b><i>USER WEIGHT CAPACITY</i></b></p></td><td><p>150 kg / 330 lbs</p></td></tr><tr><td><p><b><i>WORKING SIZE</i></b></p></td><td><p>1200mm * 530mm * 1110mm / 47.2'' * 20.9'' * 43.7''</p></td></tr><tr><td><p><b><i>PACKAGING</i></b></p></td><td><p>1100mm * 330mm * 870mm / 43.3'' * 13'' * 34.3'' carton size; a 20'/ 40GP/ 40HC container can hold 83.170/222 units respectively</p></td></tr><tr><td><p><b><i>OVERALL WEIGHT</i></b></p></td><td><p>61 kg / 135 lbs</p></td></tr><tr><td><p><b><i>FLYWHEEL WEIGHT</i></b></p></td><td><p>20kg/43lbs</p></td></tr><tr><td><p><b><i>COLOR</i></b></p></td><td><p>silver grey frame; dark grey shroud; black accents</p></td></tr><tr><td><p><b><i>CERTIFICATION</i></b></p></td><td><p>GS; CE; ROHS;</p></td></tr><tr><td><p><b><i>FEATURES</i></b></p></td><td><p>Rubber coated handbars makes user feel more comfortable.  Micro-adjustable fore and aft seat slider; dual-sided SPD pedal; bottle holder; one motion emergency stop; commercial uses durable and reliable (Spline fit) bottom bracket.  Cordless console is optional etc.</p></td></tr></tbody></table>    </div>,BURNSFPS303,BURNSF,gym-equipments,PS303 E Commercial Spin Bike,8-13 Working Days,100,N,-190,Get your hands on the PS303 E Commercial Spin Bike. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the PS303 E Commercial Spin Bike Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy PS303 E Commercial Spin Bike Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/p/s/ps303e.jpg,
Product,Recumbent Bike,Burn Fitness,244900.00,244900.00,,<div class="std">        <p> </p><table style="width: 643px;" border="0"><tbody><tr><td><p><span style="text-decoration: underline; font-size: medium;"><b>CONSOLE</b></span></p></td><td><p>　</p></td></tr><tr><td><p><b>console windows</b></p></td><td><p>7 windows + dot matrix</p></td></tr><tr><td><p><b>program instant key</b></p></td><td><p>Yes</p></td></tr><tr><td><p><b>numeric Keypad</b></p></td><td><p>Yes</p></td></tr><tr><td><p><b>workouts </b></p></td><td><p>11</p></td></tr><tr><td><p><b>Display readouts</b></p></td><td><p>7</p></td></tr><tr><td><p><b>UNIT SELECTION</b></p></td><td><p>　</p></td></tr><tr><td><p><b>Metric </b></p></td><td><p>Yes</p></td></tr><tr><td><p><b>English </b></p></td><td><p>Yes</p></td></tr><tr><td colspan="2"><p><span style="text-decoration: underline; font-size: medium;"><b>HEART RATE MONITORING</b></span></p></td></tr><tr><td><p><b>contact </b></p></td><td><p>Polar</p></td></tr><tr><td><p><b>telemetry</b></p></td><td><p>Polar</p></td></tr><tr><td><p><span style="text-decoration: underline; font-size: medium;"><b>FEATURES</b></span></p></td><td><p>　</p></td></tr><tr><td><p><b>Handle bars</b></p></td><td><p>3 riding positions; with contact heart rate grips on-your-finger-tips control</p></td></tr><tr><td><p><b>frame</b></p></td><td><p>2 step powder-coating with rust-resistant undercoat</p></td></tr><tr><td><p><b>resistance levels</b></p></td><td><p>20</p></td></tr><tr><td><p><b>brake </b></p></td><td><p>Self powered hybrid brake</p></td></tr><tr><td><p><b>resistance Brake power</b></p></td><td><p>450W</p></td></tr><tr><td><p><b>crank</b></p></td><td><p>oversized</p></td></tr><tr><td><p><b>pedals </b></p></td><td><p>oversized dual-sided pedals with integrated straps</p></td></tr><tr><td><p><b>Integrated Transportation Wheels</b></p></td><td><p>Yes</p></td></tr><tr><td><p><b>cup holder</b></p></td><td><p>Yes</p></td></tr><tr><td><p><b>step through anti-skid</b></p></td><td><p>Yes</p></td></tr><tr><td><p><span style="text-decoration: underline; font-size: medium;"><b>TECH SPECS</b></span></p></td><td><p>　</p></td></tr><tr><td><p><b>overall dimension</b></p></td><td><p>1650mm * 650mm * 1370mm / 65'' * 26'' * 54''</p></td></tr><tr><td><p><b>maximum user weight</b></p></td><td><p>160Kg/350Lbs</p></td></tr><tr><td><p><b>weight</b></p></td><td><p>83kg/182lbs</p></td></tr><tr><td><p><b>shipping weight</b></p></td><td><p>104.6kg/228lbs</p></td></tr><tr><td><p><b>carton cubic size</b></p></td><td><p>1615×380×850mm / 63.6"×15"×33.5"</p></td></tr><tr><td><p><b>container count</b></p></td><td><p>127 sets</p></td></tr><tr><td colspan="2"><p><b>*Specifications subject to change</b></p></td></tr><tr><td colspan="2"><p><b>*All models are CE; ETL; EN957 approved</b></p></td></tr></tbody></table>    </div>,BURNSFRR700,BURNSF,gym-equipments,Recumbent Bike,8-13 Working Days,100,N,-190,Get your hands on the Recumbent Bike. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Recumbent Bike Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Recumbent Bike Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/r/r/rr700.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/r/7/r700_console.jpg,
Product,Recumbent Bike,Burn Fitness,209900.00,209900.00,,<div class="std">        <table style="width: 600px;" border="1"><tbody><tr><td>MODEL No.</td><td>ECR7 Recumbent bike</td></tr><tr><td>Max User Weight</td><td>160Kg / 350Lbs</td></tr><tr><td>Product Dimension</td><td>1670×643×1326mm / 65.7"×25.3"×52.3"</td></tr><tr><td>Packing Size</td><td>1775×445×730mm / 69.9"×17.6"×29"</td></tr><tr><td>Container Count</td><td>96 sets ( 40' HQ )</td></tr><tr><td>Gross Weight</td><td>100.7Kg / 222Lbs</td></tr><tr><td>Net Weight</td><td>83.2Kg / 183.3Lbs</td></tr><tr><td>Pedal</td><td>Standard</td></tr><tr><td>Brake</td><td>Self-generated; 60RPM;350 watt;</td></tr><tr><td>Resistance</td><td>20 Levels</td></tr><tr><td>Bearing</td><td>TPI</td></tr><tr><td>Power supply</td><td>Self-powered</td></tr><tr><td>Contact &amp; Telemetric HR</td><td>Yes</td></tr><tr><td>Display</td><td>6 windows (LED)+Dot matrixLED</td></tr><tr><td>Console  Readouts</td><td>Speed; Time; Watts; Calories; RPM; Distance; Heart Rate; Resistance</td></tr><tr><td>Programs</td><td>7 Preset; 3 Heartrate; 3 goals; 1 userdefined; quickstart; COOLDOWN</td></tr><tr><td>Warranty</td><td>Frames 7 years、PCB 2 years、<br>controller 2 years、Brake 2 years .<br>Others are as standard on brochure.</td></tr></tbody></table>    </div>,BURNSFECR7,BURNSF,gym-equipments,Recumbent Bike,8-13 Working Days,100,N,-190,Get your hands on the Recumbent Bike. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Recumbent Bike Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Recumbent Bike Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/e/c/ecr7.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/e/c/ecr7-1.jpg,
Product,Burn Recumbent Bike BF-8318WB,Burn Fitness,164900.00,164900.00,,<div class="std">        <p><span>Key Features:</span></p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"><span> 1.   </span><span>16 grades resistance level; 8 professional exercise programs.</span></p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"><span> 2.    </span><span>Adopt imported self-generated motor electronic system. Adjust the resistance conveniently at any time.</span></p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"><span> 3.    </span><span>Balance weight pedal and adjustable seat; designed as ergonomics; meet different users' exercise requirement.</span></p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"><span> 4.    </span><span>Handhold heart rate test; to test your heart rate anytime when take exercise.</span></p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"><span> 5.    </span><span>Adopt fixed and scroll display to make the operation be more humanistic.</span></p><p><span> 6.    Adopt high quality 8-slot belt and bidirectional bearing make exercise smoother.</span></p><p> </p><p><strong>Covers an area of space：1754 X 658 X 1341 MM</strong></p><p><strong>Gross weight：106 KGS</strong></p><p><strong>Net weight：91 KGS</strong></p>    </div>,BURNSFBF8318WB,BURNSF,gym-equipments,Burn Recumbent Bike BF-8318WB,8-13 Working Days,100,N,-190,Get your hands on the Burn Recumbent Bike BF-8318WB. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Burn Recumbent Bike BF-8318WB Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Burn Recumbent Bike BF-8318WB Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf8318wb.jpg,
Product,Seated Leg Curl,Burn Fitness,286900.00,286900.00,,<div class="std">        <p>-L x W x H:1582x1138x1528 (mm)</p><p>-PRODUCT WEIGHT:144.6 KG</p><p>-WEIGHT STACK:91KG/200 LBS</p>    </div>,BURNSFBF9507,BURNSF,gym-equipments,Seated Leg Curl,8-13 Working Days,100,N,-190,Get your hands on the Seated Leg Curl. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Seated Leg Curl Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Seated Leg Curl Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9507.jpg,
Product,Lat Pulldown,Burn Fitness,292900.00,292900.00,,<div class="std">        <p>-L x W x H:1901 x1223 x 2201mm</p><p>-PRODUCT WEIGHT:127.9KG</p><p>-WEIGHT STACK:125KG/275KG</p>    </div>,BURNSFBF9522,BURNSF,gym-equipments,Lat Pulldown,8-13 Working Days,100,N,-190,Get your hands on the Lat Pulldown. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Lat Pulldown Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Lat Pulldown Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9522.jpg,
Product,Leg Extension,Burn Fitness,272900.00,272900.00,,<div class="std">        <p>-L  xW x H:1340x1145x1528mm</p><p>-PRODUCT WEIGHT: 139.5KG</p><p>-WEIGHT STACK: 91KG/200LBS</p>    </div>,BURNSFBF9505,BURNSF,gym-equipments,Leg Extension,8-13 Working Days,100,N,-190,Get your hands on the Leg Extension. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Leg Extension Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Leg Extension Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9505.jpg,
Product,Tricep Dip,Burn Fitness,189900.00,189900.00,,<div class="std">        <p>-LxWxH:1733x1580x1202 (mm)</p><p>  68.2x62.2x47.3 (in)</p><p>-MAX WEIGHT CAPACITY:300Kg/660 Lbs</p>    </div>,BURNSFBF7024,BURNSF,gym-equipments,Tricep Dip,8-13 Working Days,100,N,-190,Get your hands on the Tricep Dip. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Tricep Dip Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Tricep Dip Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf7024.jpg,
Product,Leg Ext,Burn Fitness,169900.00,169900.00,,<div class="std">        <p>-LxWxH:1270x1690x1005 (mm)</p><p>50x66.5x39.6 (in)</p><p>-MAX WEIGHT CAPACITY:300Kg/660Lbs</p>    </div>,BURNSFBF7025,BURNSF,gym-equipments,Leg Ext,8-13 Working Days,100,N,-190,Get your hands on the Leg Ext. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Leg Ext Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Leg Ext Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf7025.jpg,
Product,Shouler Press,Burn Fitness,163900.00,163900.00,,<div class="std">        <p>-L X W X H:1392 X 1191 X 1400 (mm)<br>                         55 X 47 X 55 (in)</p><p>-N.W.:78kgs</p>    </div>,BURNSFBF8112,BURNSF,gym-equipments,Shouler Press,8-13 Working Days,100,N,-190,Get your hands on the Shouler Press. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Shouler Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Shouler Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf8112.jpg,
Product,Utility Bench,Burn Fitness,26900.00,26900.00,,,BURNSFBF7022,BURNSF,gym-equipments,Utility Bench,8-13 Working Days,100,N,-190,Get your hands on the Utility Bench. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Utility Bench Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Utility Bench Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf7022.jpg,
Product,Rubber Kettle Bell 10kg,Burn Fitness,3550.00,3550.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Premium chrome handles slides easily</span></li><li><span class="a-list-item">Heavy kettlebells have extra large handles</span></li><li><span class="a-list-item">Sold individually</span></li><li><span class="a-list-item">Box Contents: 1 x Kettlebell</span></li></ul></div></div>    </div>,BURNSFBFA204410,BURNSF,gym-equipments,Rubber Kettle Bell 10kg,8-13 Working Days,100,N,-190,Get your hands on the Rubber Kettle Bell 10kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Rubber Kettle Bell 10kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Rubber Kettle Bell 10kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2044-10.jpg,
Product,Rubber Kettle Bell 8kg,Burn Fitness,2840.00,2840.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Premium chrome handles slides easily</span></li><li><span class="a-list-item">Heavy kettlebells have extra large handles</span></li><li><span class="a-list-item">Sold individually</span></li><li><span class="a-list-item">Box Contents: 1 x Kettlebell</span></li></ul></div></div>    </div>,BURNSFBFA20448,BURNSF,gym-equipments,Rubber Kettle Bell 8kg,8-13 Working Days,100,N,-190,Get your hands on the Rubber Kettle Bell 8kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Rubber Kettle Bell 8kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Rubber Kettle Bell 8kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2044-8.jpg,
Product,Rubber Kettle Bell 6kg,Burn Fitness,2130.00,2130.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Premium chrome handles slides easily</span></li><li><span class="a-list-item">Heavy kettlebells have extra large handles</span></li><li><span class="a-list-item">Sold individually</span></li><li><span class="a-list-item">Box Contents: 1 x Kettlebell</span></li></ul></div></div>    </div>,BURNSFBFA20446,BURNSF,gym-equipments,Rubber Kettle Bell 6kg,8-13 Working Days,100,N,-190,Get your hands on the Rubber Kettle Bell 6kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Rubber Kettle Bell 6kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Rubber Kettle Bell 6kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2044-6.jpg,
Product,Rubber Kettle Bell 4kg,Burn Fitness,1420.00,1420.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Premium chrome handles slides easily</span></li><li><span class="a-list-item">Heavy kettlebells have extra large handles</span></li><li><span class="a-list-item">Sold individually</span></li><li><span class="a-list-item">Box Contents: 1 x Kettlebell</span></li></ul></div></div>    </div>,BURNSFBFA20444,BURNSF,gym-equipments,Rubber Kettle Bell 4kg,8-13 Working Days,100,N,-190,Get your hands on the Rubber Kettle Bell 4kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Rubber Kettle Bell 4kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Rubber Kettle Bell 4kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2044-4.jpg,
Product,Barbell Rack,Burn Fitness,67900.00,67900.00,,,BURNSFBF7027,BURNSF,gym-equipments,Barbell Rack,8-13 Working Days,100,N,-190,Get your hands on the Barbell Rack. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Barbell Rack Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Barbell Rack Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf7027.jpg,
