Item Type,Category,Free Shipping,Brand Name,Bin Picking Number,Product Availability,Product Image Sort - 7,Product Image Sort - 6,Product Image Sort - 5,Product Code/SKU,Option Set,Product Image Sort - 2,Product Image Sort - 1,Product Image Description 1,Product Image Sort - 4,Retail Price,Product Image Sort - 3,Price,Product Description,Product Image Is Thumbnail 1,Current Stock,Sale Price,Track Inventory,Product Name,Product Image File -1,Product Image File -2,Product Image File -3,Product Image File -4,Product Image File -5,Product Image File -6,Product Image File -7
SKU,,,,1357601,,,,,IND1357601,,,,,,,,,,Y,46,,,[S]Size=UK 9,,,,,,,
SKU,,,,1357595,,,,,IND1357595,,,,,,,,,,Y,14,,,[S]Size=UK 9,,,,,,,
SKU,,,,1402303,,,,,IND1402303,,,,,,,,,,Y,450,,,[S]Size=UK 8,,,,,,,
SKU,,,,546000,,,,,IND546000,,,,,,,,,,Y,23,,,[S]Size=UK 7,,,,,,,
SKU,,,,2278698,,,,,IND2278698,,,,,,,,,,Y,105,,,[S]Size=UK 8,,,,,,,
SKU,,,,1402284,,,,,IND1402284,,,,,,,,,,Y,0,,,[S]Size=UK 12,,,,,,,
SKU,,,,1357602,,,,,IND1357602,,,,,,,,,,Y,35,,,[S]Size=UK 10,,,,,,,
SKU,,,,1357603,,,,,IND1357603,,,,,,,,,,Y,31,,,[S]Size=UK 11,,,,,,,
SKU,,,,1357596,,,,,IND1357596,,,,,,,,,,Y,7,,,[S]Size=UK 10,,,,,,,
SKU,,,,1402304,,,,,IND1402304,,,,,,,,,,Y,334,,,[S]Size=UK 9,,,,,,,
SKU,,,,546001,,,,,IND546001,,,,,,,,,,Y,88,,,[S]Size=UK 8,,,,,,,
