Item Type,Product ID,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order,Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image Sort - 2,Product Image Sort - 3,Product Image File - 1,Product Image File - 2,Product Image File - 3,Product Image File - 4,Product Image File - 5 ,Product Image File - 6,Product Image File - 7,Product Image File - 8
Product,,Ashaway Red 100,Ashaway,£18.40,£18.40,£18.40,"<div class=""article-content""><h2><strong>Overview</strong></h2>
<p>BEST SELLING Feather shuttlecock.</p>
<p>Specially selected duck feather. Performs better than many lower grade goose feathers. Designed to save costs for clubs</p>
<p>Excellent value selected duck feathers with a compressed cork base. Suitable for Club level play. One of our best selling feathers offering excellent value.</p>
<p> </p>
<h2><strong>Specifications </strong></h2>
<ul>
<li>Suitable for practice/club</li>
<li>Specially selected duck feather</li>
<li>Performs better than many lower grade goose feathers</li>
<li>Excellent value for money</li>
<li>Speed 77 or 78</li>
</ul></div>",97,,,Shuttlecocks,Ashaway Red 100,,N,,Buy Ashaway Red 100 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Ashaway Red 100 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Ashaway Red 100 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,http://goode-sport.co.uk//data/img/products/gallery/59.jpg?520a132b
SKU,,[S]Size= 1 dozen,,,,,,971 dozen
SKU,,[S]Size= 77,,,,,,9777
SKU,,[S]Size= 78,,,,,,9778
Product,,Ladies Skorts,Ashaway,£19.99,£19.99,£19.99,"<div class=""article-content""><h2>     Overview</h2>
<ul>
<li>Ashaway Skort with fitted Shorts</li>
<li>Small Ashaway Logo on one side</li>
<li>Available in Black or Navy</li>
<li>Sizes S - XL</li>
</ul></div>",92,,,Clothing,Ladies Skorts,,N,,Buy Ladies Skorts Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Ladies Skorts Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Ladies Skorts Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,http://goode-sport.co.uk//data/img/products/gallery/57.jpg?520a10ab
SKU,,[S]Size= SMALL,,,,,,92SMALL
SKU,,[S]Size= MEDIUM,,,,,,92MEDIUM
SKU,,[S]Size= LARGE,,,,,,92LARGE
SKU,,[S]Size= EXTRA LARGE,,,,,,92EXTRA LARGE
SKU,,[S]Size= BLACK,,,,,,92BLACK
SKU,,[S]Size= NAVY,,,,,,92NAVY
Product,,ADL594 Ladies Polo Shirt,Ashaway,£29.99,£29.99,£29.99,"<div class=""article-content""><h2><span>Overview</span></h2>
<p><span>Ashaway ADL594 Ladies Polo Shirt. </span><span>Constructed from NEW Ashaway TEC-DRY material:</span></p>
<ul>
<li><span>Lightweight</span></li>
<li><span>Draws perspiration away from the body and allows it to evaporate quickly</span></li>
<li><span>Cuts out over 85% of UV and Infra red radiation keeping you cooler</span></li>
<li><span>Stretches and moves with your body</span></li>
</ul>
<p><span>Available in sizes XS - XL</span></p></div>",236,,,Clothing,ADL594 Ladies Polo Shirt,,N,,Buy ADL594 Ladies Polo Shirt Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy ADL594 Ladies Polo Shirt Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy ADL594 Ladies Polo Shirt Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3
SKU,,[S]Size= S,,,,,,236S
SKU,,[S]Size= M,,,,,,236M
SKU,,[S]Size= L,,,,,,236L
SKU,,[S]Size= XL,,,,,,236XL
SKU,,[S]Size= NAVY,,,,,,236NAVY
